Day,BOS_TOT_Timestep,BOS_AVG_diurnal,BOS_AVG_ALPHA,BOS_AVG_BETA,BOS_AVG_A,BOS_AVG_CQY,BOS_AVG_CUE_24,BOS_AVG_DCG,BOS_AVG_g_S,BOS_AVG_g_C,BOS_AVG_P_NET,BOS_AVG_DCGR,BOS_AVG_DWCGR,BOS_AVG_DOP,BOS_AVG_DOC,BOS_AVG_DTR,BOS_AVG_DCO2C,BOS_AVG_DCO2P,BOS_AVG_DNC,BOS_AVG_DWC
0,11.5,0.5,1.5003502069060306e-06,2.400560331049649e-06,4.2305378463432084e-05,0.05674362027335708,0.625,1.559928061183741e-06,3.21440287308392e-05,3.214316780758497e-05,0.0007550722465283566,4.683956991114889e-05,0.000936791398222977,8.625454740438848e-05,0.00011500606320585131,0.011944537144575542,0.00011863140590481946,0.0001581752078730926,7.965757995243579e-08,0.012892041171385376
1,35.5,0.5,1.612343467078441e-05,2.5797495473255056e-05,0.0004546325269515416,0.05674362027335708,0.625,1.2755171888032388e-05,0.0003454341159230188,0.0003453761745860777,0.008114344226157645,0.00038299635748897655,0.007659927149779523,0.0007052835355962119,0.0009403780474616159,0.12834324765032437,0.0009700216383611037,0.0012933621844814717,6.51341654631805e-07,0.13609076949270424
2,59.5,0.5,5.6129588847734195e-05,8.980734215637471e-05,0.0015826861543859249,0.05674362027335708,0.625,3.96121444484939e-05,0.0012025399858426264,0.0012019147861111453,0.028248001401866105,0.0011894239583188143,0.023788479166376265,0.0021903109996811903,0.002920414666241587,0.4466366194290103,0.0030124750645639585,0.0040166334194186104,2.02279043630953e-06,0.4706971304932445
3,83.5,0.5,0.00012935889371161339,0.00020697422993858145,0.003647533043212654,0.05674362027335708,0.625,8.624553908370145e-05,0.002771430281354375,0.0027682323637262217,0.06510167428488141,0.002589673240681533,0.05179346481363061,0.004768854490422512,0.006358472653896683,1.0286868578504402,0.006558911150527356,0.008745214867369807,4.404120354042185e-06,1.0810726040970853
4,107.5,0.5,0.00024204994781123037,0.0003872799164979686,0.00682508297201137,0.05674362027335708,0.625,0.00015603126490969802,0.00518576292450208,0.005174754554384343,0.12181502493527104,0.004685111783627275,0.09370223567254542,0.008627581278015745,0.011503441704020992,1.9229606851108076,0.0118660653538718,0.015821420471829065,7.967721889810894e-06,2.017734447753415
5,131.5,0.5,0.00039956342868334595,0.0006393014858933535,0.011266490978432084,0.05674362027335708,0.625,0.00025190632651008246,0.008560386949841311,0.0085306763841861,0.20108588937289543,0.007563928289536619,0.15127856579073226,0.01392888987774287,0.018571853170323827,3.170035434877692,0.019157294758536687,0.025543059678048912,1.2863572906864792e-05,3.3230439387224493
6,155.5,0.5,0.0006066770007372499,0.0009706832011795999,0.017106472877539792,0.05674362027335708,0.625,0.00037650659100448594,0.012997660714328745,0.01292961520218214,0.3053186940990314,0.01130526928144395,0.22610538562887875,0.02081852773211695,0.027758036976155934,4.8046997101228355,0.028633055161145633,0.038177406881527515,1.9226273712135133e-05,5.033390711954346
7,179.5,0.5,0.0008677435158139091,0.0013883896253022545,0.024467766043368703,0.05674362027335708,0.625,0.0005322443736732646,0.018590841241553333,0.01845236259840307,0.4367040727425711,0.015981568747193697,0.31963137494387367,0.029429881224703594,0.03923984163293812,6.8569760075045245,0.04047680140190273,0.0539690685358703,2.717900895887422e-05,7.180262510165172
8,203.5,0.5,0.0011867880724308142,0.001898860915889303,0.033463866188687255,0.05674362027335708,0.625,0.000721357395576652,0.02542616365301881,0.025168363199146036,0.5972677124838214,0.021660018177631236,0.4332003635526243,0.039886682739111085,0.05318224365214811,9.352670243952378,0.054858710556279576,0.07314494740837275,3.683604766287983e-05,9.790824447396396
9,227.5,0.5,0.00156757278491273,0.0025081164558603676,0.04420085366033664,0.05674362027335708,0.625,0.0009459420676973075,0.03358422880470353,0.033136547663669365,0.7889029500263202,0.028403565981230127,0.568071319624602,0.052304851069918744,0.06973980142655832,12.313681301763223,0.0719382131700915,0.095917617560122,4.830444285410877e-05,12.88824877097836
10,251.5,0.5,0.0020136426056849765,0.0032218281690959624,0.0567786854905469,0.05674362027335708,0.625,0.0012079773544296701,0.04314098499993324,0.04240581488767884,1.013393832307444,0.0362716340271211,0.7254326805424213,0.0667938109287009,0.0890584145716012,15.758180217456639,0.09186580806068123,0.1224877440809083,6.16852501635197e-05,16.491908545126222
11,275.5,0.5,0.0025283591764454923,0.004045374682312788,0.07129214989851852,0.05674362027335708,0.625,0.0015093425806756379,0.05416845322875677,0.05301532160054145,1.2724321525746645,0.04532065233430221,0.9064130466860433,0.08345747756826478,0.11127663675768638,19.700717797324756,0.11478441653372418,0.15304588871163224,7.707443714074175e-05,20.617496082562145
12,299.5,0.5,0.0031149266858898333,0.004983882697423734,0.08783159540075774,0.05674362027335708,0.625,0.001851831141352644,0.06673528115290993,0.06499467259573478,1.5676304636476612,0.0556044707236105,1.112089414472209,0.1023950148351811,0.13652668644690813,24.152295307872105,0.1408304249814468,0.18777389997526242,9.456358332881702e-05,25.277101962143075
13,323.5,0.5,0.003776412155290594,0.00604225944846495,0.10648350280360912,0.05674362027335708,0.625,0.0022371613248064787,0.08090717771117957,0.07836407047142077,1.9005322869201657,0.06717468380963294,1.3434936761926577,0.12370143363877595,0.16493524485170127,29.120420120046266,0.17013450799537888,0.22684601066050514,0.00011424043296075989,30.479277247258167
14,347.5,0.5,0.004515761703271763,0.0072252187252348195,0.12733094382113805,0.05674362027335708,0.625,0.0026669850361559313,0.09674726158163033,0.0931344638269464,2.2726202978353602,0.08008089293439512,1.6016178586879006,0.1474680742991074,0.19662409906547654,34.60916077968454,0.20282229177043254,0.2704297223605767,0.0001361893404163318,36.2290938548558
15,371.5,0.5,0.005335813825671505,0.008537302121074408,0.15045395552745408,0.05674362027335708,0.625,0.0031428949508119923,0.11431634569403977,0.10930772028968395,2.6853230091627442,0.09437092096429399,1.8874184192858783,0.1737830020931299,0.2317106694575066,40.619211305019796,0.23901489812488744,0.31868653083318327,0.0001604916355158279,42.52821319801408
16,395.5,0.5,0.006239310406214238,0.00998289664994278,0.17592985082465853,0.05674362027335708,0.625,0.0036664304676370164,0.1336731731263964,0.1268768421726559,3.1400203122730024,0.11009099104411978,2.2018198208823936,0.2027313364282388,0.27030844857098507,47.14797132596623,0.2788293972338584,0.37177252964514457,0.00018722592751759025,49.37496994118965
