[            ST   ST_conf
TEMP  0.012353  0.000686
RH    0.466141  0.019144
CO2   0.007939  0.000470
PPFD  0.001850  0.000119
H     0.522993  0.022639,             S1   S1_conf
TEMP  0.011786  0.005088
RH    0.455329  0.026987
CO2   0.007340  0.003635
PPFD  0.001764  0.001991
H     0.512436  0.030733,                     S2   S2_conf
(TEMP, RH)    0.000297  0.008328
(TEMP, CO2)   0.000049  0.006745
(TEMP, PPFD)  0.000046  0.006809
(TEMP, H)     0.000510  0.008813
(RH, CO2)     0.000982  0.041075
(RH, PPFD)    0.000809  0.041142
(RH, H)       0.010205  0.047578
(CO2, PPFD)   0.000252  0.005373
(CO2, H)      0.000686  0.006142
(PPFD, H)     0.000118  0.003212]
