Index,A_mu,A_mu_star,A__mu_star_conf,A_sigma,CQY_mu,CQY_mu_star,CQY__mu_star_conf,CQY_sigma,CUE_24_mu,CUE_24_mu_star,CUE_24__mu_star_conf,CUE_24_sigma,ALPHA_mu,ALPHA_mu_star,ALPHA__mu_star_conf,ALPHA_sigma,BETA_mu,BETA_mu_star,BETA__mu_star_conf,BETA_sigma,DCG_mu,DCG_mu_star,DCG__mu_star_conf,DCG_sigma,CGR_mu,CGR_mu_star,CGR__mu_star_conf,CGR_sigma,TCB_mu,TCB_mu_star,TCB__mu_star_conf,TCB_sigma,TEB_mu,TEB_mu_star,TEB__mu_star_conf,TEB_sigma,VP_SAT_mu,VP_SAT_mu_star,VP_SAT__mu_star_conf,VP_SAT_sigma,VP_AIR_mu,VP_AIR_mu_star,VP_AIR__mu_star_conf,VP_AIR_sigma,VPD_mu,VPD_mu_star,VPD__mu_star_conf,VPD_sigma,P_GROSS_mu,P_GROSS_mu_star,P_GROSS__mu_star_conf,P_GROSS_sigma,P_NET_mu,P_NET_mu_star,P_NET__mu_star_conf,P_NET_sigma,g_S_mu,g_S_mu_star,g_S__mu_star_conf,g_S_sigma,g_A_mu,g_A_mu_star,g_A__mu_star_conf,g_A_sigma,g_C_mu,g_C_mu_star,g_C__mu_star_conf,g_C_sigma,DTR_mu,DTR_mu_star,DTR__mu_star_conf,DTR_sigma
TEMP,0.007131055969641443,0.7079771513569812,0.13932619120103532,1.0044930258910927,0.0008449972473960853,0.08636978200662553,0.0152087036202739,0.12300617293396161,0.0096893310546875,0.7848358154296875,0.11546821651155953,1.1168736503819197,-2.1392215208724676e-05,0.02500230803905076,0.0038037085555012455,0.03321028243519495,-0.00030922900443497686,0.04426969282589773,0.007513264086480431,0.059636920565851806,-0.0029045803921934937,0.3453592082349063,0.05581595988722199,0.4671467970808484,-0.08715776757257303,10.369864038165197,1.4715852099181672,14.026576695472459,-8.289344459836627,87.71179573299972,17.307630631137144,134.92909541571456,-9.026906763405112,206.8697668081593,30.926788290606485,273.9687277898314,0.12833158882522866,2.553909299413991,0.44804007599572354,3.5549645825018805,-6.150016041630876,232.8712233111062,36.004829104442166,313.6002589664827,-8.236371869103243,201.38410780886983,28.411847441558702,257.83315866135575,-0.7009954759849659,12.954078175183351,2.139060883555518,17.632606608960845,0.17162842979518086,8.931229294718008,1.4828540180207956,11.918879039989646,0.6581087234145537,23.713158907613604,3.051371766967728,30.68113284764225,0.0,2.48046875,0.40952804173166935,3.5216961467452017,0.007902299047053526,2.2370827299260245,0.3283912187564729,3.0909945642986822,-184.23003149102468,4633.471197951482,785.2437224944246,5914.742936849708
RH,0.03820049546448016,0.8022985796458098,0.10834454919417581,1.082776932898436,0.0035365571704654196,0.09728904751969938,0.016520414819398515,0.13238625234169246,0.0290679931640625,0.8817291259765625,0.1512745937555744,1.2102312674275342,0.000953663541979377,0.04177624857379039,0.0019788424873028627,0.04367239643588949,0.0007008572868639433,0.08031706926301498,0.0025209587343253048,0.08202444302861611,0.010811319552836271,0.573651826015268,0.03377641083950153,0.6080604508556037,0.3246167252081379,17.224270395887753,1.0455372513449106,18.257528032274212,3.4795106707385646,94.07664574540841,18.882527648398717,139.54983966433687,-1.7763683896003282,253.67430139797824,32.3378934084706,317.12410972965074,0.0028847452053645667,5.004878821984571,0.017258762879061668,5.025403670604551,44.56392199121237,303.0018520132701,37.21340335731425,383.96378195391986,-68.26720813211458,356.2764335106853,15.434409171909047,362.34283649863477,-0.13794733191780825,16.35593930546276,2.2772488831201088,20.6099385937991,0.22156189014795952,14.392045617047096,0.9613584269389307,15.399331871040829,7.2844578060203045,36.00610458305043,2.67668560273989,38.88334184864682,0.0,4.9609375,0.0,4.980430453284134,0.10319307433065339,4.3296359206761945,0.041616402223459165,4.351369068151991,-1743.0901484403594,8033.813683864805,420.6319232528521,8301.276701694598
CO2,0.06106687380272077,0.9088252687348803,0.12628568228033485,1.1604026865095887,7.51486329452762e-05,0.10805968288466046,0.015464347627972365,0.1390695694609304,-0.03875732421875,0.96893310546875,0.14305631661931587,1.2638139364820056,0.005139511776325851,0.042795906089104406,0.0026449604907791053,0.04525664264395535,0.009323224682525433,0.08167351982741623,0.002983453137522358,0.08345703020442652,0.06898002787920225,0.5925959546844458,0.049631378294487126,0.6473793427691709,2.0711962863800863,17.793028915648236,1.3901132390455264,19.43808142441494,6.73339755386012,109.46026193754345,20.09353433665148,158.73167397197508,9.111574871238627,258.2033273529907,32.96370833079649,323.5925647072123,0.00052347593122265,5.004878821984571,0.0165735992761232,5.025404477613867,13.932624832266086,327.76451032220734,48.0267850491578,407.60590501915044,-3.671619117531188,356.25165843870343,7.24397178643973,360.0174396747353,1.2704538803880971,17.936311820182073,2.1185582387661,22.219637201922033,1.9406848965087562,14.67523682201071,1.0585820200995573,15.823749491180168,-2.639235157738107,36.94393582433705,2.759890048281769,40.26888612959374,0.0,4.9609375,0.0,4.980430453284134,-0.04954512834388111,4.335872190034688,0.039637359464600196,4.358026258719591,76.87608101720166,8042.999730735059,301.0255023257734,8231.068446964166
PPFD,0.11607305869325814,1.0086086624487547,0.12333555339004199,1.2673152920441124,-0.006311801894439964,0.11850906592131302,0.0161734106025955,0.15180810299938355,-0.0484466552734375,1.0755157470703125,0.1513257581782506,1.386863002527509,0.005996453028981712,0.04499088636402233,0.002326995017237936,0.047359330107334625,0.010969332146875874,0.08051046344556753,0.0036272805214537657,0.08288955148047344,0.14252602184570193,0.626718617626452,0.04699011346925582,0.682238236425325,4.279396695445483,18.817882348317013,1.491285618969916,20.485024013858336,23.45702265890431,100.3905715078159,14.161187538584443,143.82093674957153,40.4256785764808,243.65944168065073,33.76087351744012,304.38269767918604,0.0015788251552069782,5.004878821984571,0.016542631026938013,5.025404255131113,34.065077049913825,263.4070171265305,38.87105307338074,344.42415153659186,-1.8193984595130486,356.27643351068554,7.106063636946638,360.07780199535756,3.8088474875486003,15.86951712219636,2.393165101262733,19.807660566620054,3.404041568710496,16.018824928863317,1.0632305508637547,17.24738005461239,8.658692791246377,40.27701873285668,3.2427639295781145,43.61880188222879,0.0,4.9609375,0.0,4.980430453284134,0.11856440663166935,4.3794323451484125,0.04034438916383793,4.402384440381795,-246.7424032010246,8110.182713740799,252.46329254742756,8306.93903629694
H,0.010270113824376002,0.8872007873363422,0.1002229048560639,1.108729233528008,0.0007197271365161064,0.10720042740871832,0.01381594355660309,0.13563758737658776,0.0096893310546875,0.9786224365234375,0.11954190089539238,1.2401962274406657,5.69832773753984e-05,0.042024685352817566,0.0022259964482352606,0.04408096642210997,-0.00018382821630040101,0.0796145622690543,0.002752103061875722,0.0816190395980482,0.15870060170960834,0.5868017210745522,0.05075588513878311,0.6269025905690013,4.7651250697520435,17.619026736390293,1.3242637790153862,18.82317547281438,11.163216984243107,108.95946196135657,15.843113245529354,148.78032654642166,37.82713559825348,251.02765807275577,36.11760275417288,318.47698053989325,-0.006083432163659558,5.004878821984571,0.015864586641059122,5.025400793992118,-6.610972567483516,316.68247180156584,42.92851467724005,410.35526042206845,-0.6544015624027835,356.27643351068554,7.08117154639135,360.08183535389503,-0.5718866962002074,17.616061531604338,2.065845324798956,22.328696259464966,-1.1434926463875286,13.734118764764393,0.916008379679598,14.874470062322967,-2.4251888999536093,34.542740899767104,2.630211498431937,37.52495832718063,0.0,4.9609375,0.0,4.980430453284134,-0.053919095366989425,4.303925742322185,0.03797026261698305,4.325621407772727,-2088.3360906477083,7988.367921217741,472.3061536404752,8272.880433031643
STRU,2.069521631929021,2.1475501484865935,0.19394585365914208,1.1489524106571778,0.2595523192152711,0.2660584979481871,0.025200255323954566,0.1326925668005939,2.36419677734375,2.422332763671875,0.19786442201592724,1.2199265107705908,0.022700072247215625,0.03778093626521426,0.004375572160350959,0.040860419686356265,-0.032155247969610126,0.06827485522086417,0.007675382833800567,0.07627139018512684,0.3129499834406411,0.5411301400875573,0.07373376062535565,0.6006654495195433,9.396387603135073,16.247999034004593,2.2127205031983515,18.035990088451154,311.06812169601744,311.06812169601744,27.329135467165653,176.2320127165455,-409.7814481207008,480.7160078135787,56.23249058505525,412.19643265172164,-0.18668484962319115,3.2052735563552948,0.4604855455347981,4.238118497494525,-34.68996740115551,424.32705222124673,58.410853737814655,546.5166963196008,3.0795763943328245,239.40964996134574,28.043611896180686,303.60155799647924,-8.404243721686624,24.22876065907671,3.359419242966925,29.40693150085604,1.5142846033152468,13.20128039585963,1.916081489379628,16.800592804550938,4.605576407384262,32.55033492824942,4.78704094601909,41.4723943160812,-0.19378662109375,3.13934326171875,0.4806084302482963,4.194846072277132,-0.08309127254896287,2.873503749040928,0.35415819076887434,3.7092831688087267,162.17107312467706,5792.088177808601,733.1813695370997,7244.2062991502535
