,Simulation,Timestep,H,diurnal,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,DWCGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_NET,P_GROSS,DOP,DOC,g_S,g_A,g_C,DTR,DCO2C,DCO2P,DNC,DWC,T_LIGHT,T_DARK,RH,CO2,PPFD
0,0.0,707.5,8.201978625873437,0.3333333333333333,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8474048966265294,25.444814979780645,21.204012483150517,0.0,0.0,3.3048532253227934,0.0,-274.703713563389,47.07804981258497,0.0,1.952347666044455,1.7792348696856128,139.35177259090278,2.5,2.4559399231617296,-3559.5320733268213,2.6851888440384157,2.4470957228040993,0.0018030271444560975,-3538.394844195691,25.677528961749562,20.677528961749562,84.12130519398723,986.3141374747084,900.1935275389892
1,1.0,707.5,8.201978625873437,0.3333333333333333,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8474048966265294,25.444814979780645,21.204012483150517,0.0,0.0,2.9068906209577645,0.0,-241.62454247016936,47.07804981258497,0.0,1.952347666044455,1.7792348696856128,122.53433972803049,2.5,2.4500137321187547,-3123.3467689116274,2.6851888440384157,2.4470957228040993,0.0018030271444560975,-3102.209539780497,23.533607886337236,18.533607886337236,84.12130519398723,986.3141374747084,900.1935275389892
2,2.0,707.5,8.201978625873437,0.3333333333333333,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8474048966265294,25.444814979780645,21.204012483150517,0.0,0.0,3.3048532253227934,0.0,-308.75388987833435,47.07804981258497,0.0,1.952347666044455,1.7792348696856128,156.48200210813374,2.5,2.460687373934636,-4008.4781423586805,2.6851888440384157,2.4470957228040993,0.0018030271444560975,-3987.3409132275497,25.677528961749562,20.677528961749562,94.42438796148883,986.3141374747084,900.1935275389892
3,3.0,707.5,8.201978625873437,0.3333333333333333,0.93,0.03345369254737007,0.05352590807579211,0.057554739866443126,0.625,0.8673061680985492,26.042385482953115,21.70198790246091,0.0,0.0,3.3048532253227934,0.0,-274.703713563389,48.18367600547497,0.0,1.9981984760461338,1.8210201323092516,116.62430389773994,2.5,2.4475337962489574,-3547.3486000764055,2.7482504009772346,2.504565671929265,0.0018453711677395214,-3525.714963930424,25.677528961749562,20.677528961749562,84.12130519398723,1206.2023128281176,900.1935275389892
4,4.0,707.5,8.201978625873437,0.3333333333333333,0.003316195323576196,0.00015585762885150944,0.0002493722061624151,0.07519828653925346,0.625,0.0001165023253405301,0.0034981861974187622,0.0029151551645156325,0.0,0.0,3.3048532253227934,0.0,-274.703713563389,0.006293955913957035,0.0,0.00026841129178367196,0.00024461151979475064,0.018630209125282154,2.5,0.0184923209860003,-26.80196247438421,0.00036916324835304455,0.0003364298969388533,2.4788251261876765e-07,-26.799056500681633,25.677528961749562,20.677528961749562,84.12130519398723,986.3141374747084,25.239203722077217
5,5.0,707.5,8.443366654055845,0.3333333333333333,0.93,0.032686061644218174,0.052297698630749075,0.05623408454919255,0.625,0.8474048966265294,25.444814979780645,21.204012483150517,0.0,0.0,3.3048532253227934,0.0,-274.703713563389,47.07804981258497,0.0,1.952347666044455,1.831598575622612,139.35177259090278,2.5,2.4559399231617296,-3664.2907501809573,2.6851888440384157,2.51911488284408,0.0018030271444560975,-3643.133865595724,25.677528961749562,20.677528961749562,84.12130519398723,986.3141374747084,900.1935275389892
6,6.0,707.5,8.443366654055845,0.3333333333333333,0.0039730481978393776,0.0001900789208285123,0.00030412627332561973,0.07654734052584855,0.625,0.00014208246614503617,0.004266274690320465,0.0035552289086003843,0.0,0.0,3.3048532253227934,0.0,-308.75388987833435,0.007675904969701453,0.0,0.00032734572607308847,0.00030709999865257933,0.02086270516925667,2.5,0.020689943474939746,-34.69599918127569,0.0004502195521230991,0.00042237430593334804,3.0230949128403304e-07,-34.69245185419535,25.677528961749562,20.677528961749562,94.42438796148883,1206.2023128281176,25.239203722077217
7,7.0,707.5,8.443366654055845,0.3333333333333333,0.0039730481978393776,0.0001900789208285123,0.00030412627332561973,0.07654734052584855,0.625,0.00014208246614503617,0.004266274690320465,0.0035552289086003843,0.0,0.0,2.9068906209577645,0.0,-241.62454247016936,0.007675904969701453,0.0,0.00032734572607308847,0.00030709999865257933,0.016336689002029045,2.5,0.016230564501500927,-21.300133552773385,0.0004502195521230991,0.00042237430593334804,3.0230949128403304e-07,-21.296586225693048,23.533607886337236,18.533607886337236,84.12130519398723,1206.2023128281176,25.239203722077217
8,8.0,707.5,8.443366654055845,0.3333333333333333,0.003316195323576196,0.00015585762885150944,0.0002493722061624151,0.07519828653925346,0.625,0.0001165023253405301,0.0034981861974187622,0.0029151551645156325,0.0,0.0,2.9068906209577645,0.0,-271.57447713397136,0.006293955913957035,0.0,0.00026841129178367196,0.00025181055006870103,0.018396250225821507,2.5,0.01826179104553272,-26.936426393896483,0.00036916324835304455,0.0003463311845607814,2.4788251261876765e-07,-26.933517717936553,23.533607886337236,18.533607886337236,94.42438796148883,986.3141374747084,25.239203722077217
9,9.0,707.5,8.443366654055845,0.3333333333333333,0.93,0.03345369254737007,0.05352590807579211,0.057554739866443126,0.625,0.8673061680985492,26.042385482953115,21.70198790246091,0.0,0.0,2.9068906209577645,0.0,-271.57447713397136,48.18367600547497,0.0,1.9981984760461338,1.8746135978703482,115.15973129918268,2.5,2.4468807217984576,-3609.187198179649,2.7482504009772346,2.5782761991785326,0.0018453711677395214,-3587.533444971979,23.533607886337236,18.533607886337236,94.42438796148883,1206.2023128281176,900.1935275389892
