[            ST   ST_conf
TEMP  0.025290  0.011039
RH    0.979014  0.229439
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.034384  0.049650
RH    0.960503  0.283616
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.018254  0.102940
(TEMP, CO2)  -0.010388  0.053143
(TEMP, PPFD) -0.010388  0.053143
(TEMP, H)    -0.010388  0.053143
(RH, CO2)     0.048461  0.491069
(RH, PPFD)    0.048461  0.491069
(RH, H)       0.048461  0.491069
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
