Index,A_mu,A_mu_star,A__mu_star_conf,A_sigma,CQY_mu,CQY_mu_star,CQY__mu_star_conf,CQY_sigma,CUE_24_mu,CUE_24_mu_star,CUE_24__mu_star_conf,CUE_24_sigma,ALPHA_mu,ALPHA_mu_star,ALPHA__mu_star_conf,ALPHA_sigma,BETA_mu,BETA_mu_star,BETA__mu_star_conf,BETA_sigma,DCG_mu,DCG_mu_star,DCG__mu_star_conf,DCG_sigma,CGR_mu,CGR_mu_star,CGR__mu_star_conf,CGR_sigma,TCB_mu,TCB_mu_star,TCB__mu_star_conf,TCB_sigma,TEB_mu,TEB_mu_star,TEB__mu_star_conf,TEB_sigma,VP_SAT_mu,VP_SAT_mu_star,VP_SAT__mu_star_conf,VP_SAT_sigma,VP_AIR_mu,VP_AIR_mu_star,VP_AIR__mu_star_conf,VP_AIR_sigma,VPD_mu,VPD_mu_star,VPD__mu_star_conf,VPD_sigma,P_GROSS_mu,P_GROSS_mu_star,P_GROSS__mu_star_conf,P_GROSS_sigma,P_NET_mu,P_NET_mu_star,P_NET__mu_star_conf,P_NET_sigma,g_S_mu,g_S_mu_star,g_S__mu_star_conf,g_S_sigma,g_A_mu,g_A_mu_star,g_A__mu_star_conf,g_A_sigma,g_C_mu,g_C_mu_star,g_C__mu_star_conf,g_C_sigma,DTR_mu,DTR_mu_star,DTR__mu_star_conf,DTR_sigma
TEMP,0.004517178516487197,0.7051812071416612,0.014650206578551973,0.9922582196949532,0.0005272323631486018,0.08528820822203358,0.0019955581940786617,0.12022190668973018,0.004729647189378738,0.7764249853789806,0.016983003090509957,1.0944574286141344,6.625525769090286e-05,0.0249925453145134,0.0004669915607075207,0.03312841213377819,-2.8227880736955974e-05,0.04437066962428079,0.0008192242885752808,0.059449900686103486,0.00025800445485535747,0.34733035940275364,0.006974835689840528,0.46863320251874657,0.007734367859960427,10.429062256135719,0.18614782936110552,14.071189322044551,2.0140320447075237,90.97966731818727,2.034343601760443,137.6116806802257,1.557901999102297,201.39515272431714,3.5125449996275844,267.51686215595464,0.1312039923352045,2.5744768778613007,0.05026244252683612,3.5686934922804388,9.818897162452982,239.87498122652485,4.735756023337505,319.991087123396,-9.360872289965029,202.86761563476392,3.422888427319667,258.7996226762463,0.1360528087289004,12.886325263678245,0.25484221965914305,17.497478136281956,-0.04984472167099681,8.965902009041791,0.1707615967004377,11.802803069663723,0.8310535953464259,23.41905186911937,0.4298216530664039,29.86322273272807,0.0,2.49969482421875,0.050130619282735274,3.5353181074825146,0.012338650350902557,2.2534229165621626,0.04363368961717871,3.1004173384848297,-232.42434402439784,4658.477360044234,71.71791419680977,5950.181750246366
RH,0.012430929181694169,0.921264540820073,0.017301312029708936,1.1890024423456602,0.001690952759405281,0.11141299373935758,0.001909024158088308,0.1439094548822663,0.015104357153177261,1.0086354054510593,0.016870445193885163,1.3093737618694563,0.00012581789520148566,0.0436342979558927,0.00027505731061969305,0.045740981026680026,-0.0002273814648130287,0.08169648288557158,0.00034582869829946606,0.0833362936652553,0.0022155727505628504,0.6015212964022144,0.004807332682215704,0.6445625004913387,0.06651549312520633,18.06106905960997,0.14483342269371693,19.353549845038017,3.1886038010115816,108.98442515308986,2.673470683959483,156.28290134055604,-1.5128579446426145,249.43744184735513,4.72875574859344,317.5265599738615,-0.0002747455420943183,5.043977755799039,0.0021142922435559036,5.045142219426266,49.410119211945805,312.3400379650765,5.448599080759957,388.9980969321717,-69.38772957677479,358.83432351770676,1.9031988345133977,363.89040781293386,0.08820346260481168,16.779350252847184,0.2726340827236063,21.248625762533838,-0.023498600072498828,14.948190900122578,0.1076110076658505,16.056002641184495,7.104841007498571,37.46994152308304,0.4014750689051615,40.585414253131496,0.0,4.9993896484375,0.0,4.999694814904956,0.1056584116627858,4.3734983891796135,0.004964881410035916,4.37918145953212,-1757.8919572263433,8109.857610717229,56.16394774968504,8352.870063223476
CO2,0.10295367576514224,0.9660715904665683,0.01816361607086007,1.2082512002023882,0.006757721003157898,0.11479230317975031,0.0019813684567627373,0.1463449808754753,0.024716220796108246,1.033504195511341,0.0178015029444156,1.3311132410071795,0.005141815144637678,0.043729759495080685,0.000323371425796187,0.04597359052094479,0.007525411345198698,0.08150906477154606,0.00039953863713497944,0.08330854236508786,0.07163082989917241,0.6028401061953608,0.004706636262784701,0.6473233046606894,2.150785144592843,18.10067610082491,0.14184479366508987,19.43644633918968,10.88817449657905,114.7721429888373,2.253454819762058,158.58495600421782,3.065328487923392,251.6833864987461,4.451870070744452,319.2804571584335,-0.00013131256892086926,5.04397775579904,0.002087253969188573,5.0451422251990845,-2.9792519149168766,304.3868045659156,4.634068375414811,387.4175680517195,0.02499386023328022,358.8303258725038,0.8419007874044386,361.24992324351444,0.6669216381298506,16.97079147454437,0.29572801199538906,21.211575166096704,1.67714225006103,14.979597536614287,0.13421500734427314,16.099494962139893,-3.4243002682902217,37.471953410487906,0.3441777339278645,40.34265572366801,0.0,4.9993896484375,0.0,4.999694814904956,-0.05533727771688914,4.375896154385171,0.004814792220259808,4.381139485334107,98.442109385458,8110.7144462684455,39.42553596384139,8272.390225916186
PPFD,0.16617351390400228,0.9720198135793059,0.018085585097033546,1.2080010887914214,0.0007394333403965394,0.1134153802949524,0.0020414638408928192,0.14578218335496018,0.011442694813013077,1.0263334400951862,0.01854452242944378,1.326773396527179,0.006645114063194243,0.0436299041190912,0.0003596232516290185,0.04598595374840552,0.010307417276008186,0.08145856913202777,0.00039757484456239917,0.08340181337009972,0.149404241947888,0.6033514421713099,0.006317513894393346,0.6530118578772611,4.485985257730705,18.116045966851637,0.17627954891220426,19.60725684329578,18.131727409030436,115.57239170191586,2.262498584664197,157.95103756093656,24.895054171009043,252.54522661250715,4.275830793187564,316.2907542484138,0.0003041934850613716,5.04397775579904,0.002075387374907238,5.045142217736464,-1.5388568068378687,292.0431389822769,4.911670006198217,382.50819871857135,-0.07215088275958101,358.83050066001005,0.831060571978465,361.25040993856175,2.3679064109959422,16.784773753073924,0.2502602362107641,20.944714056786967,3.6312206852486413,15.039415759617782,0.14709558364589687,16.252107871029487,9.086662923692906,37.613861076273636,0.42832082310551267,40.82482785879189,0.0,4.9993896484375,0.0,4.999694814904956,0.12384171014121258,4.37436263616919,0.0056452417961346405,4.3802734274453945,-228.39649953940418,8109.667087726978,34.692349191863656,8273.670727367515
H,-0.0029067717820844673,0.9365873918359092,0.016803966875502247,1.1902348758505292,-0.00040290232390731716,0.11146588739998525,0.0018023975197303179,0.144660047280712,-0.0038142316043376923,1.0132124833762646,0.01911533456645903,1.3151231010243984,-1.5009474133656832e-05,0.04352516540445877,0.00032714226206572735,0.0456414574042325,8.423991642034115e-05,0.0815767996294421,0.0003615334195287277,0.08325663562033161,0.15582078486122677,0.6027782923649379,0.006585352923707483,0.6503418868329904,4.678636098809136,18.09883481108494,0.21375010391823274,19.527077764272956,12.270375374723503,115.86737797374336,2.022627095797828,158.4117107064271,43.3612787115394,257.94034296123016,4.263431770368369,319.142199805556,-0.0001950841697705611,5.04397775579904,0.0020075550616385977,5.045142223135952,-3.723580154619805,297.72923705449625,4.8771503653485695,386.83562669317143,0.11859726241956794,358.8305006600101,0.9644663604303546,361.2503976747115,-0.21632739594492176,16.88188112125145,0.25875792884140963,21.168690534647784,-1.105832088393614,14.943357427429254,0.13068039828306907,16.043693162777984,-2.8020688010381765,37.383237826034865,0.35808376616191717,40.28248798272154,0.0,4.9993896484375,0.0,4.999694814904956,-0.052614929746407524,4.374067852227402,0.005114212518718036,4.37936196528045,-2029.95738140627,8109.370131476793,59.713558154815324,8368.491164977117
STRU,2.110791201669451,2.178800959542246,0.024884338898695405,1.2695010004818679,0.26382067864415853,0.26932892831152616,0.002945339305476164,0.14759843507683107,2.40052480250597,2.4484315514564514,0.027215185637455563,1.3410784129719324,0.02515642056411931,0.03930170773885808,0.0006440286455051137,0.04277745713332248,-0.0275780269108336,0.06336133309087695,0.0010811744405788744,0.07439568168910904,0.3513853909670538,0.5578694369980813,0.010377848174334885,0.6258335258727046,10.550305140419697,16.7505666280539,0.2765708177628268,18.79150300490434,335.2739495016899,335.2739495016899,4.118922006072047,183.18128207140302,-381.2006283735269,460.545973486651,7.237010320133846,417.07593079648825,0.045004837499889934,3.11248597423433,0.05496034726288347,4.2972095168774125,15.491756847832825,424.80561966221245,7.783598398795644,540.5864796176594,-4.807791522383145,236.265081470027,4.55976075674409,312.92521133646585,-5.656465451015599,24.384779090417158,0.36662071115192757,29.75210005598584,1.8326037796052932,12.759751179759434,0.23122885295905318,16.30472335186588,4.011210420497061,31.962547015396847,0.5359302966383271,40.949341112770995,0.04271939396858215,3.052605837583542,0.07178071719657168,4.2564422519076555,0.10128610069346601,2.7947543606245926,0.05997770037169116,3.752400438089974,-78.95248496702666,5667.034396595309,100.72566765944359,7350.444203583333
