[            ST   ST_conf
TEMP  0.008175  0.000475
RH    0.302608  0.017976
CO2   0.359710  0.019689
PPFD  0.076612  0.003954
H     0.274917  0.013118,             S1   S1_conf
TEMP  0.007464  0.004394
RH    0.291000  0.025455
CO2   0.348777  0.026395
PPFD  0.073695  0.011095
H     0.265168  0.022697,                     S2   S2_conf
(TEMP, RH)    0.000590  0.007268
(TEMP, CO2)   0.000621  0.007408
(TEMP, PPFD)  0.000536  0.006500
(TEMP, H)     0.000741  0.006829
(RH, CO2)     0.008343  0.039021
(RH, PPFD)    0.004303  0.032785
(RH, H)       0.007058  0.037792
(CO2, PPFD)   0.000760  0.043270
(CO2, H)      0.004326  0.050373
(PPFD, H)     0.000754  0.018606]
