,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_C,DTR
0,0,0.0,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,2.814606869432776,1.899859636867124,0.914747232565652,0.0,0.0,0.0,0.0,0.0
1,1,0.0004998504522362312,0.054114549544529614,0.625,0.0005453115103778443,0.016372978099094774,0.016372978099094774,0.0,2.814606869432776,1.899859636867124,0.914747232565652,0.015147541954940119,0.011360656466205089,0.0002678234591698475,0.0002677947704811363,0.0025212038086626105
2,2,0.002827581154843213,0.054114549544529614,0.625,0.0030847477347780167,0.09261955073670995,0.10899252883580472,0.08798857319987445,2.814606869432776,1.899859636867124,0.914747232565652,0.08568743707716714,0.06426557780787535,0.001515038273118701,0.0015141206927988165,0.014254971635930987
3,3,0.007791897415134897,0.054114549544529614,0.625,0.008500565177338945,0.25522946944960184,0.3642219982854066,0.3304565691769962,2.814606869432776,1.899859636867124,0.914747232565652,0.23612681048163736,0.177095107861228,0.004174954548669221,0.004167994074341422,0.03924035751644002
4,4,0.0159952144715594,0.054114549544529614,0.625,0.017449968332091018,0.5239352991710328,0.8881572974564393,0.8281951033894772,2.814606869432776,1.899859636867124,0.914747232565652,0.4847213425580838,0.36354100691856284,0.00857035069343512,0.008541070704939617,0.08041150300531082
5,5,0.027942489744605614,0.054114549544529614,0.625,0.030483840152948534,0.9152773005922796,1.803434598048719,1.697708538952143,2.814606869432776,1.899859636867124,0.914747232565652,0.8467733375819038,0.6350800031864279,0.014971786516822957,0.014882658522343238,0.14011556417678414
6,6,0.044077628004414525,0.054114549544529614,0.625,0.04808645824651675,1.4437959088516654,3.2472305069003844,3.069314652361225,2.814606869432776,1.899859636867124,0.914747232565652,1.335734951292132,1.001801213469099,0.023617109380077026,0.02339609017181546,0.22026685413989464
7,7,0.06480151947767163,0.054114549544529614,0.625,0.07069517353251888,2.122622585313879,5.369853092214264,5.085806108409409,2.814606869432776,1.899859636867124,0.914747232565652,1.9637548203477468,1.4728161152608101,0.03472111914339142,0.03424550227751033,0.32241066775314425
8,8,0.09048259695498281,0.054114549544529614,0.625,0.09871192751289654,2.9638256235747185,8.333678715788983,7.901440450805392,2.814606869432776,1.899859636867124,0.914747232565652,2.7419979864693484,2.0564984898520113,0.048481224739798434,0.04755893850537235,0.4477524959888712
9,9,0.12146365989340416,0.054114549544529614,0.625,0.1325106970218161,3.978633678080028,12.31231239386901,11.681142444981418,2.814606869432776,1.899859636867124,0.914747232565652,3.6808526950504477,2.760639521287836,0.06508110057827292,0.06342986637303691,0.5971723062229327
10,10,0.1580665918531695,0.054114549544529614,0.625,0.17244264071005336,5.177590287319352,17.48990268118836,16.5998532179348,2.814606869432776,1.899859636867124,0.914747232565652,4.790073353057038,3.5925550147927785,0.08469321418018266,0.08191805290037661,0.7712327862100767
11,11,0.20059578456420207,0.054114549544529614,0.625,0.21883983452802175,6.570666031703852,24.060568712892213,22.84198594805346,2.814606869432776,1.899859636867124,0.914747232565652,6.078884292445049,4.5591632193337865,0.10748066081869584,0.10305029528478754,0.9701862231626899
12,12,0.2493407172843167,0.054114549544529614,0.625,0.27201808567484626,8.167343022387259,32.22791173527947,30.600961819321356,2.814606869432776,1.899859636867124,0.914747232565652,7.556057935412396,5.667043451559296,0.13359854555741507,0.12682128962174288,1.1939826824824615
13,13,0.30457795761666956,0.054114549544529614,0.625,0.3322791153887971,9.976680439548632,42.2045921748281,40.078808236892556,2.814606869432776,1.899859636867124,0.914747232565652,9.229975427466588,6.922481570599941,0.1631950553027246,0.15319480165167085,1.442281029975201
