,Timestep,Day,diurnal,A,CQY,CUE_24,HCG,HCGR,HWCGR,HOP,HOC,HTR,HCO2C,HCO2P,HNC,HWC
0,0,0,0,0.0,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,0.0004998504522362312,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,0.20972444397572226,0.0,0.0,0.0,0.20972444397572226
2,2,0,0,0.002827581154843213,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1.1855920911478435,0.0,0.0,0.0,1.1855920911478435
3,3,0,0,0.007791897415134897,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,3.262483130987043,0.0,0.0,0.0,3.262483130987043
4,4,0,0,0.0159952144715594,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,6.681600209911955,0.0,0.0,0.0,6.681600209911955
5,5,0,0,0.027942489744605614,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,11.632740586988442,0.0,0.0,0.0,11.632740586988442
6,6,0,0,0.044077628004414525,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,18.266405285736518,0.0,0.0,0.0,18.266405285736518
7,7,0,0,0.06480151947767163,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,26.698539381586688,0.0,0.0,0.0,26.698539381586688
8,8,0,1,0.09048259695498281,0.054114549544529614,0.625,0.0061694954695560335,0.18524989809049164,3.7049979618098297,0.3411356284187647,0.6064633394111374,37.01258089229439,0.46918568842299824,0.8341078905297747,0.0003150447067792465,40.81685830051184
9,9,0,1,0.12146365989340416,0.054114549544529614,0.625,0.008281918563863505,0.24867909823748852,4.973581964749766,0.4579397955210624,0.8141151920374442,49.260491664799225,0.6298339438004537,1.119704788978584,0.00042291539371366724,54.36734616281703
10,10,0,1,0.1580665918531695,0.054114549544529614,0.625,0.010777665044378335,0.3236182538712872,6.472365077425738,0.5959394177277084,1.0594478537381484,63.4635358140572,0.8196336667061405,1.4571265185886944,0.0005503604533670966,70.1093349469017
11,11,0,1,0.20059578456420207,0.054114549544529614,0.625,0.01367748965800136,0.4106905625883923,8.213811251767838,0.7562821064862884,1.3445015226422905,79.61320486877939,1.0401632406984498,1.8491790945750217,0.00069843972494096,88.04711411854285
12,12,0,1,0.2493407172843167,0.054114549544529614,0.625,0.01700113035467789,0.5104886908773244,10.209773817546479,0.9400592505483653,1.671216445419316,97.67250468957396,1.2929237226593984,2.298531062505597,0.0008681611249956357,108.15586049097068
13,13,0,1,0.30457795761666956,0.054114549544529614,0.625,0.02076744471179982,0.6235788705000352,12.471577410000695,1.1483135594103284,2.041446327840584,117.57770817911607,1.5793492177721837,2.8077319427061047,0.0010604876139497365,130.38347505800647
14,14,0,1,0.36657275083083,0.054114549544529614,0.625,0.024994518301001918,0.7505041523946093,15.010083047892174,1.382045055339053,2.4569689872694274,139.24060122003328,1.900815120738019,3.379226881312033,0.0012763427298203873,154.6528957538393
15,15,0,1,0.4355803073486631,0.054114549544529614,0.625,0.029699752474527236,0.8917870426145107,17.835740852290197,1.642215927424727,2.9194949820884037,162.55119263426897,2.258644791866015,4.015368518872915,0.0015166150710257285,180.8648615438314
16,16,0,1,0.5118468630899008,0.054114549544529614,0.625,0.034899936664182035,1.047931673231228,20.958633464624544,1.9297545292739429,3.430674718709232,187.3808168447244,2.654115055356645,4.718426765078481,0.0017821619883242616,208.90105966764713
17,17,0,1,0.5956105651474108,0.054114549544529614,0.625,0.04061130877051271,1.2194256156249925,24.388512312499827,2.245558718164404,3.9921043878478293,213.58552840768007,3.088460791855176,5.490596963298091,0.002073812668582496,238.62755740927082
18,18,0,1,0.6871022206269005,0.054114549544529614,0.625,0.046849606221941106,1.40674141362467,28.134828272493376,2.590498678304994,4.605330983653322,241.00966985080788,3.562878821462142,6.334006793710473,0.002392370742104902,269.8984014194591
19,19,0,1,0.7865459365532819,0.054114549544529614,0.625,0.05363010960635288,1.6103378936225563,32.2067578724511,2.9654193333976093,5.27185659270686,269.48948752043884,4.07853122188422,7.250722172238612,0.0027386165106768686,302.5592604674244
20,20,0,1,0.8941596718273797,0.054114549544529614,0.625,0.06096768030589707,1.8306612946250946,36.61322589250186,3.371142427613002,5.9931420935342254,298.8566732501113,4.636548190533651,8.242752338726492,0.003113308869382213,336.45099031601546
21,21,0,1,1.0101557172869229,0.054114549544529614,0.625,0.06887679322962442,2.068146251107625,41.36292502215246,3.808468335506871,6.770610374234437,328.9417209661677,5.238030533821812,9.312054282349887,0.003517186978092283,371.41301051114255
22,22,0,1,1.1347411163422645,0.054114549544529614,0.625,0.07737156549425307,2.3232166542045634,46.46433308409122,4.278177647892009,7.605649151808017,359.5770048165801,5.88405184831079,10.460536619219186,0.003950971726046558,407.28640019593763
23,23,0,1,1.2681180360058406,0.054114549544529614,0.625,0.08646578172256456,2.5962864113380153,51.92572822676026,4.781032570685951,8.499613458997244,390.5995068251146,6.575660444638196,11.690063012690121,0.004415367023712874,443.9166413645918
24,24,1,0,1.4104840961412648,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,421.8531452400143,0.0,0.0,0.0,421.8531452400143
25,25,1,0,1.5620326632382222,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,453.1906776946944,0.0,0.0,0.0,453.1906776946944
26,26,1,0,1.7229531138455674,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,484.47517442743367,0.0,0.0,0.0,484.47517442743367
27,27,1,0,1.8934310718777794,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,515.5810749676673,0.0,0.0,0.0,515.5810749676673
28,28,1,0,2.073648623285492,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,546.3948562039915,0.0,0.0,0.0,546.3948562039915
29,29,1,0,2.26378451100298,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,576.8153503478704,0.0,0.0,0.0,576.8153503478704
30,30,1,0,2.464014312620482,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,606.7537580969135,0.0,0.0,0.0,606.7537580969135
31,31,1,0,2.674510602851849,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,636.1334056449804,0.0,0.0,0.0,636.1334056449804
32,32,1,1,2.89544310255945,0.054114549544529614,0.625,0.19742385502579307,5.927996738895732,118.55993477791455,10.91634010940047,19.406826861156397,664.8892946133914,15.013942029535944,26.69145249695279,0.010081430616935888,786.6261716763498
