Timestep,skip?,SIM_NUM,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD,SIM_STRU,Diurnal,DWCGR,DOC,DCO2C,DCO2P,DNC,DWC
707.5,,0.0,16.498271197178465,0.5503382144938941,0.0223351774740166,0.0357362839584266,0.0649351308291223,0.625,0.3217161126010843,9.66008928404461,0.0,0.0,0.7412061271607696,2.502562987366448,0.0,-173.2952606921009,0.0,8.81237407019317,26.937910076336973,2.5,2.2875823421342,-4207.206874547159,21.074619488639502,16.074619488639506,70.24711248705343,602.8331615512643,246.59458382536187,2.0,0.6666666666666666,8.0500744033705,1.3587355221009692,1.019428280321308,1.868756026090468,0.0006845167949086,-4198.925686309754
707.5,,1.0,16.498271197178465,0.5503382144938941,0.0223351774740166,0.0357362839584266,0.0649351308291223,0.625,0.3217161126010843,9.66008928404461,0.0,0.0,0.7412061271607696,2.5425665021693407,0.0,-176.0653885815343,0.0,8.81237407019317,27.37120221521504,2.5,2.2906632511905047,-4280.215981647502,21.33281260780188,16.33281260780188,70.24711248705343,602.8331615512643,246.59458382536187,2.0,0.6666666666666666,8.0500744033705,1.3587355221009692,1.019428280321308,1.868756026090468,0.0006845167949086,-4271.934793410097
707.5,,2.0,16.498271197178465,0.5503382144938941,0.0223351774740166,0.0357362839584266,0.0649351308291223,0.625,0.3217161126010843,9.66008928404461,0.0,0.0,0.7412061271607696,2.502562987366448,0.0,-150.74285939495408,0.0,8.81237407019317,23.46311505214223,2.5,2.259156228864382,-3614.210640568913,21.074619488639502,16.074619488639506,61.23539073978998,602.8331615512643,246.59458382536187,2.0,0.6666666666666666,8.0500744033705,1.3587355221009692,1.019428280321308,1.868756026090468,0.0006845167949086,-3605.929452331509
29.0,,3.0,16.498271197178465,0.577004408001179,0.0243949139336814,0.0390318622938902,0.0676456917012157,0.625,0.3572923871821363,10.727703925143643,94.32762749527971,89.60899584658253,0.3858757781567072,2.502562987366448,175.79782367946734,-173.2952606921009,9.625045838290704,7.143848705081422,18.36280769637711,2.5,2.2004238312044,-4046.841915203417,21.074619488639502,16.074619488639506,70.24711248705343,716.9044427059976,246.5945838253619,3.0,,,,,,,
30.0,,4.0,16.498271197178465,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.2216408003870119,6.654765031620034,0.0,173.7289899757125,0.2393720644179729,2.502562987366448,175.79782367946734,-173.2952606921009,9.830854129932591,5.638137107468524,17.234814272440037,2.5,2.1833007945391096,-4055.5041142422647,21.074619488639502,16.074619488639506,70.24711248705343,602.8331615512643,217.60957711175956,1.0,,,,,,,
707.5,,5.0,16.264767719315998,0.5503382144938941,0.0223351774740166,0.0357362839584266,0.0649351308291223,0.625,0.3217161126010843,9.66008928404461,0.0,0.0,0.7412061271607696,2.502562987366448,0.0,-173.2952606921009,0.0,8.81237407019317,26.937910076336973,2.5,2.2875823421342,-4147.661396990598,21.074619488639502,16.074619488639506,70.24711248705343,602.8331615512643,246.59458382536187,2.0,0.6666666666666666,8.0500744033705,1.3395050544893017,1.019428280321308,1.8423071317697588,0.0006845167949086,-4139.387427179902
29.0,,6.0,16.498271197178465,0.5281517409843651,0.0214347514990303,0.0342956023984485,0.0649351308291223,0.625,0.3139373048236324,9.425967577329562,82.88159000482685,78.73553328660087,0.339052289209523,2.502562987366448,175.79782367946734,-173.2952606921009,8.457109800485492,6.276989628099155,19.187676420110076,2.5,2.211817906218638,-4067.796978359296,21.074619488639502,16.074619488639506,70.24711248705343,602.8331615512643,246.5945838253619,3.0,,,,,,,
30.0,,7.0,16.264767719315998,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.2185038718501942,6.560578752302081,0.0,171.3908941693294,0.2359841815982097,2.502562987366448,153.24542238232053,-150.74285939495408,9.830854129932591,5.697477507122395,12.75590359885936,2.5,2.090322529275336,-3329.692020531763,21.074619488639502,16.074619488639506,61.23539073978998,716.9044427059976,217.60957711175956,1.0,,,,,,,
29.0,,8.0,16.264767719315998,0.437167676691359,0.0186106215483412,0.0297769944773459,0.0681134403684849,0.625,0.2371315002135851,7.119873293912894,62.60433365500558,59.472623487219465,0.256102020230672,2.5425665021693407,178.60795508370364,-176.0653885815343,6.479759175874459,4.83301264661345,12.62277217140539,2.5,2.0867159850614097,-3843.88134943055,21.33281260780188,16.33281260780188,70.24711248705343,716.9044427059976,217.60957711175956,3.0,,,,,,,
707.5,,9.0,16.264767719315998,0.4160491330966807,0.0170035840710677,0.0272057345137083,0.0653906770847335,0.625,0.2161316400973605,6.48973072429342,0.0,0.0,0.4979486250106142,2.5425665021693407,0.0,-153.15248674007128,0.0,5.920228382542884,16.016495655644487,2.5,2.162312009325625,-3464.832836253456,21.33281260780188,16.33281260780188,61.23539073978998,602.8331615512643,217.60957711175956,2.0,0.6666666666666666,5.4081089369111774,0.8998909691056028,0.6848606506093082,1.2376777113622257,0.0004598642460324,-3459.274312464133
707.5,,10.0,16.264767719315998,0.6012430728006927,0.0254196897126045,0.0406715035401672,0.0676456917012157,0.625,0.3661454567521837,10.994158093533631,0.0,0.0,0.8435674973895678,2.5425665021693407,0.0,-153.15248674007128,0.0,10.029372489039275,22.815955635214564,2.5,2.253000123665524,-3610.149125053418,21.33281260780188,16.33281260780188,61.23539073978998,716.9044427059976,246.59458382536187,2.0,0.6666666666666666,9.16179841127802,1.5244921556228916,1.1602124317197795,2.0967317452205543,0.0007790493068562,-3600.73251103618
