[            ST   ST_conf
TEMP  0.852025  0.220581
RH    0.238315  0.076036
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.755132  0.277254
RH    0.183400  0.136393
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.089850  0.573285
(TEMP, CO2)   0.029009  0.487721
(TEMP, PPFD)  0.029009  0.487721
(TEMP, H)     0.029009  0.487721
(RH, CO2)    -0.001512  0.184793
(RH, PPFD)   -0.001512  0.184793
(RH, H)      -0.001512  0.184793
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
