,Simulation,Timestep,H,diurnal,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,DWCGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_NET,P_GROSS,DOP,DOC,g_S,g_A,g_C,DTR,DCO2C,DCO2P,DNC,DWC,T_LIGHT,T_DARK,RH,CO2,PPFD
0,0.0,707.5,20.04078156375804,0.8333333333333334,0.3713763520824996,0.01579224047768669,0.025267584764298707,0.06803767828137217,0.625,0.22884203670437497,6.871382625613092,5.7261521880109045,0.0,0.0,2.4943738845022585,0.0,-137.680397229778,5.049897486117834,0.0,0.5272322806149087,1.174016329907263,10.57389396652439,2.5,2.021760983850092,-3588.4639193710277,0.725136338545887,1.6146998849712693,0.0004869082130787503,-3582.4954745940972,21.021320050706148,16.021320050706148,56.196375365055395,700.7483546447626,199.856754542404
1,1.0,707.5,20.04078156375804,0.8333333333333334,0.3713763520824996,0.01579224047768669,0.025267584764298707,0.06803767828137217,0.625,0.22884203670437497,6.871382625613092,5.7261521880109045,0.0,0.0,2.477238770724383,0.0,-136.73460105777144,5.049897486117834,0.0,0.5272322806149087,1.174016329907263,10.500669133844976,2.5,2.0190678564863305,-3559.0656999845037,0.725136338545887,1.6146998849712693,0.0004869082130787503,-3553.0972552075727,20.909297605512883,15.909297605512883,56.196375365055395,700.7483546447626,199.856754542404
2,2.0,707.5,20.04078156375804,0.8333333333333334,0.3713763520824996,0.01579224047768669,0.025267584764298707,0.06803767828137217,0.625,0.22884203670437497,6.871382625613092,5.7261521880109045,0.0,0.0,2.4943738845022585,0.0,-156.1108890762226,5.049897486117834,0.0,0.5272322806149087,1.174016329907263,11.973797182750168,2.5,2.0680083582870297,-4161.904870122081,0.725136338545887,1.6146998849712693,0.0004869082130787503,-4155.93642534515,21.021320050706148,16.021320050706148,63.58520025652604,700.7483546447626,199.856754542404
3,3.0,707.5,20.04078156375804,0.8333333333333334,0.42899372428563504,0.019221894330901698,0.030755030929442716,0.07169109753448334,0.625,0.27854042966322495,8.363663846390239,6.96971987199186,0.0,0.0,2.4943738845022585,0.0,-137.680397229778,6.146600667409676,0.0,0.6417330840509473,1.4289813955224238,9.999135762205542,2.5,1.9997739540937545,-3549.4387014520908,0.8826166302824542,1.965369676892317,0.0005926517034661375,-3542.1740694966634,21.021320050706148,16.021320050706148,56.196375365055395,901.9594426715181,199.856754542404
4,4.0,707.5,20.04078156375804,0.8333333333333334,0.5085556959349811,0.02147526400365792,0.034360422405852666,0.06756471843793026,0.625,0.35792492192269865,10.747322149342391,8.956101791118652,0.0,0.0,2.4943738845022585,0.0,-137.680397229778,7.898392224901058,0.0,0.8246280953966436,1.8362435034646623,16.53830837590505,2.5,2.1715662916304868,-3854.3563498780745,1.1341638585948937,2.5255033497343584,0.0007615584385611292,-3845.021285562323,21.021320050706148,16.021320050706148,56.196375365055395,700.7483546447626,229.86889193643069
5,5.0,707.5,17.76265111534379,0.75,0.3713763520824996,0.01579224047768669,0.025267584764298707,0.06803767828137217,0.625,0.20667938170986477,6.205910124756682,5.171591770630564,0.0,0.0,2.4943738845022585,0.0,-137.680397229778,5.049897486117834,0.0,0.4761714383609487,0.939785236744107,10.57389396652439,2.5,2.021760983850092,-3180.546249506355,0.6549090904116827,1.2925468539166514,0.00043975263407820955,-3175.2010735232366,21.021320050706148,16.021320050706148,56.196375365055395,700.7483546447626,199.856754542404
6,6.0,707.5,17.76265111534379,0.75,0.5835994221833927,0.025971655611732272,0.04155464897877163,0.07120406120915132,0.625,0.3909438739317638,11.738773966580588,9.782311638817148,0.0,0.0,2.4943738845022585,0.0,-156.1108890762226,9.552121115557567,0.0,0.9007009079880762,1.7776484430961739,17.596416508990554,2.5,2.1888566003829313,-3904.364012357619,1.2387916722050585,2.4449138086635314,0.0008318130087091652,-3894.2533579304595,21.021320050706148,16.021320050706148,63.58520025652604,901.9594426715181,229.86889193643069
7,7.0,707.5,17.76265111534379,0.75,0.5835994221833927,0.025971655611732272,0.04155464897877163,0.07120406120915132,0.625,0.3909438739317638,11.738773966580588,9.782311638817148,0.0,0.0,2.477238770724383,0.0,-136.73460105777144,9.552121115557567,0.0,0.9007009079880762,1.7776484430961739,15.431541463590912,2.5,2.151297698867227,-3361.0791065930703,1.2387916722050585,2.4449138086635314,0.0008318130087091652,-3350.9684521659115,20.909297605512883,15.909297605512883,56.196375365055395,901.9594426715181,229.86889193643069
8,8.0,707.5,17.76265111534379,0.75,0.5085556959349811,0.02147526400365792,0.034360422405852666,0.06756471843793026,0.625,0.3232609822342169,9.706476698301273,8.088730581917721,0.0,0.0,2.477238770724383,0.0,-155.0384845490159,7.898392224901058,0.0,0.7447653733187707,1.4698897210055666,18.598284889690486,2.5,2.203629644293441,-3903.7133003035037,1.0243235396252077,2.0216335181773997,0.0006878038208560267,-3895.3530718945417,20.909297605512883,15.909297605512883,63.58520025652604,700.7483546447626,229.86889193643069
9,9.0,707.5,17.76265111534379,0.75,0.42899372428563504,0.019221894330901698,0.030755030929442716,0.07169109753448334,0.625,0.2515646365198375,7.55366844962203,6.294723708018353,0.0,0.0,2.477238770724383,0.0,-155.0384845490159,6.146600667409676,0.0,0.5795831873571103,1.1438815499270316,11.244606844260403,2.5,2.0450940823142285,-3622.868747557539,0.7971378950331395,1.5732535911436887,0.0005352551891500347,-3616.3627417711687,20.909297605512883,15.909297605512883,63.58520025652604,901.9594426715181,199.856754542404
