[            ST   ST_conf
TEMP  0.026366  0.001441
RH    0.974964  0.030697
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.025970  0.006724
RH    0.974324  0.044349
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.000443  0.013463
(TEMP, CO2)  -0.000041  0.008476
(TEMP, PPFD) -0.000041  0.008476
(TEMP, H)    -0.000041  0.008476
(RH, CO2)     0.000390  0.062543
(RH, PPFD)    0.000390  0.062543
(RH, H)       0.000390  0.062543
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
