,Timestep,Day,Simulation,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
0,30,,0.0,3.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.07585478658605938,2.2775399672464327,0.0,65.06802958191516,0.08192316951294414,2.481542919387587,168.66737030212505,-166.18582738273747,16.44709474271192,15.012170963338185,60.222043402453004,2.5,2.400354011748355,-874.6800234429248,20.9375,16.9375,67.96875,440.625,364.0625
1,30,,1.0,3.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.07585478658605938,2.2775399672464327,0.0,65.06802958191516,0.08192316951294414,6.807464705058872,462.6948666719702,-455.88740196691134,16.44709474271192,15.012170963338185,165.2775001575689,2.5,2.4627482827308174,-2461.8270690954896,38.4375,34.4375,67.96875,440.625,364.0625
2,30,,2.0,3.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.07585478658605938,2.2775399672464327,0.0,65.06802958191516,0.08192316951294414,2.481542919387587,208.21696057986472,-205.73541766047714,16.44709474271192,15.012170963338185,74.42428730966421,2.5,2.4187512784507166,-1091.1393075527105,20.9375,16.9375,83.90625,440.625,364.0625
3,30,,3.0,3.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.07585478658605938,2.2775399672464327,0.0,65.06802958191516,0.08192316951294414,2.481542919387587,168.66737030212505,-166.18582738273747,16.44709474271192,15.012170963338185,61.08854762407103,2.5,2.4017118611208206,-875.1748186752645,20.9375,16.9375,67.96875,434.375,364.0625
4,30,,4.0,3.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.10320157659991769,3.098627337412528,0.0,85.45083852990172,0.11145770272791111,2.481542919387587,168.66737030212505,-166.18582738273747,22.376519456822653,20.424284100335644,81.93299467200687,2.5,2.425976805343941,-884.0168735880151,20.9375,16.9375,67.96875,440.625,495.3125
5,30,,5.0,1.125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.02528492886201979,0.7591799890821441,0.0,27.376009860638405,0.027307723170981374,2.481542919387587,168.66737030212505,-166.18582738273747,16.44709474271192,15.968786816254008,64.0595537501876,2.5,2.406099130059411,-292.2578410220215,20.9375,16.9375,67.96875,440.625,364.0625
6,30,,6.0,1.125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.0344005255333059,1.0328757791375096,0.0,34.170279509967244,0.03715256757597037,2.481542919387587,208.21696057986472,-205.73541766047714,22.376519456822653,21.725774337993652,109.25737437839014,2.5,2.444075278837183,-367.5211297549212,20.9375,16.9375,83.90625,434.375,495.3125
7,30,,7.0,1.125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.0344005255333059,1.0328757791375096,0.0,34.170279509967244,0.03715256757597037,6.807464705058872,462.6948666719702,-455.88740196691134,22.376519456822653,21.725774337993652,242.63296786310087,2.5,2.474503633458677,-824.5260075421138,38.4375,34.4375,67.96875,434.375,495.3125
8,30,,8.0,1.125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.0344005255333059,1.0328757791375096,0.0,34.170279509967244,0.03715256757597037,6.807464705058872,571.188835408846,-564.3813707037871,22.376519456822653,21.725774337993652,295.5749051774621,2.5,2.479032116117662,-1022.6181466092239,38.4375,34.4375,83.90625,440.625,495.3125
9,30,,9.0,1.125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.02528492886201979,0.7591799890821441,0.0,27.376009860638405,0.027307723170981374,6.807464705058872,571.188835408846,-564.3813707037871,16.44709474271192,15.968786816254008,220.37814855536755,2.5,2.471957771362914,-1019.6999297476755,38.4375,34.4375,83.90625,434.375,364.0625
10,30,,10.0,3.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.10320157659991769,3.098627337412528,0.0,85.45083852990172,0.11145770272791111,6.807464705058872,571.188835408846,-564.3813707037871,22.376519456822653,20.424284100335644,281.86649163725696,2.5,2.4780213204304937,-3066.603558882453,38.4375,34.4375,83.90625,434.375,495.3125
11,30,,11.0,1.125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.0344005255333059,1.0328757791375096,0.0,34.170279509967244,0.03715256757597037,6.807464705058872,571.188835408846,-564.3813707037871,22.376519456822653,21.725774337993652,299.82778151095073,2.5,2.4793270735201234,-1022.7398186078531,38.4375,34.4375,83.90625,434.375,495.3125
12,30,,12.0,15.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.20318375596275418,6.100592272781694,0.0,159.97211357254045,0.21943845643977453,4.488655901938403,372.41816936395185,-367.92951346201346,9.670609355156792,5.827039079170979,66.90743997341788,2.5,2.4099520166369244,-8857.156038425806,30.9375,26.9375,82.96875,340.625,214.0625
13,30,,13.0,15.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.20318375596275418,6.100592272781694,0.0,159.97211357254045,0.21943845643977453,3.886621707825842,322.4681448211753,-318.5815231133495,9.670609355156792,5.827039079170979,57.936232080576104,2.5,2.3965852141201123,-7626.666112706654,28.4375,24.4375,82.96875,340.625,214.0625
14,30,,14.0,15.375,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.20318375596275418,6.100592272781694,0.0,159.97211357254045,0.21943845643977453,4.488655901938403,309.29644574294304,-304.80778984100465,9.670609355156792,5.827039079170979,55.52616617379667,2.5,2.392289971712411,-7283.852718284029,30.9375,26.9375,68.90625,340.625,214.0625
