,Timestep,Day,Simulation,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
0,30,,0.0,15.5625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.8834442008081457,26.52541212926457,0.0,667.0012265005812,0.9541197368727974,0.9240455043838369,56.27292739587507,-55.34888189149123,41.54126719350199,24.829400368180195,12.647600706967106,2.5,2.0873934017071543,-1168.1501589189677,5.8203125,1.8203125,60.8984375,1125.703125,919.53125
1,30,,1.0,15.5625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.8834442008081457,26.52541212926457,0.0,667.0012265005812,0.9541197368727974,2.4283535376940146,147.88293614316285,-145.45458260546883,41.54126719350199,24.829400368180195,34.15444388770322,2.5,2.3294886148280445,-3425.8907912479435,20.5859375,16.5859375,60.8984375,1125.703125,919.53125
2,30,,2.0,15.5625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.8834442008081457,26.52541212926457,0.0,667.0012265005812,0.9541197368727974,0.9240455043838369,72.22715055750226,-71.30310505311841,41.54126719350199,24.829400368180195,16.356616077633998,2.5,2.168551346950677,-1563.3768127417625,5.8203125,1.8203125,78.1640625,1125.703125,919.53125
3,30,,3.0,15.5625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.8834442008081457,26.52541212926457,0.0,667.0012265005812,0.9541197368727974,0.9240455043838369,56.27292739587507,-55.34888189149123,41.54126719350199,24.829400368180195,26.631488906428327,2.5,2.2854555247733717,-1278.9899749049762,5.8203125,1.8203125,60.8984375,534.609375,919.53125
4,30,,4.0,15.5625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.7843663465119051,23.55059955401995,0.0,593.1539861453755,0.8471156542328575,0.9240455043838369,56.27292739587507,-55.34888189149123,36.88243348955784,22.044794719412323,11.229178197774536,2.5,2.044765177495248,-1144.294489524379,5.8203125,1.8203125,60.8984375,1125.703125,816.40625
5,30,,5.0,2.8125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.15965859050749623,4.793749179987574,0.0,127.53082406637004,0.17243127774809594,0.9240455043838369,56.27292739587507,-55.34888189149123,41.54126719350199,38.521050297359494,19.621853760043397,2.5,2.217473948259762,-224.26735396748754,5.8203125,1.8203125,60.8984375,1125.703125,919.53125
6,30,,6.0,2.8125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14175295418889852,4.256132449521678,0.0,114.18493725518832,0.1530931905240104,0.9240455043838369,72.22715055750226,-71.30310505311841,36.88243348955784,34.20093250700142,47.440851721440694,2.5,2.3748519541704827,-309.416639183675,5.8203125,1.8203125,78.1640625,534.609375,816.40625
7,30,,7.0,2.8125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14175295418889852,4.256132449521678,0.0,114.18493725518832,0.1530931905240104,2.4283535376940146,147.88293614316285,-145.45458260546883,36.88243348955784,34.20093250700142,99.06180474092142,2.5,2.4384611171892483,-648.0998545495321,20.5859375,16.5859375,60.8984375,534.609375,816.40625
8,30,,8.0,2.8125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14175295418889852,4.256132449521678,0.0,114.18493725518832,0.1530931905240104,2.4283535376940146,189.80997769241105,-187.38162415471706,36.88243348955784,34.20093250700142,60.47166158236317,2.5,2.4007490060933936,-822.0011731411845,20.5859375,16.5859375,78.1640625,1125.703125,816.40625
9,30,,9.0,2.8125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.15965859050749623,4.793749179987574,0.0,127.53082406637004,0.17243127774809594,2.4283535376940146,189.80997769241105,-187.38162415471706,41.54126719350199,38.521050297359494,143.41658456387856,2.5,2.4571673088519703,-841.3184407674449,20.5859375,16.5859375,78.1640625,534.609375,919.53125
