Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
CO2xTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xPPFD,,,,,,,0.0,,,,0.0,1.6461863969196325e-16,0.0,1.6089765253523459e-16,,,1.1102230246251565e-16,1.2549317372121855e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.70398857228973e-17,0.0,1.519267971412356e-16,0.03774760570083091,0.2053851292259253,,,0.10624967272600505,0.3075142746400041,0.00949946386454666,0.021271151104588992,0.006867420159942905,0.048783451766956115,0.1939754235734109,0.36945370960762725,,,0.07254802697822793,0.1292652639694838,0.07254802697822793,0.12896044277546648,-0.022228384084110098,0.06421939316049519,-0.022228384084109987,0.07652546540659262,,,,,0.0,0.0,,,0.0,0.0,,,-0.024721021154257117,0.07672815722764677,0.018565913542111623,0.1851591439092877,,,-0.01124088518641675,0.05297569233904697,0.0020951802433699304,0.006536828479561592,0.002113387527544419,0.05830459605167007,0.19397542357341113,0.2982581169558878,,,0.06552679200912126,0.1270522912727568,0.06552679200912126,0.11175527324995296,-0.02252927760848522,0.07150711434363,-0.02252927760848522,0.05750887525415194,-0.030857382932513278,0.0823267563563122,-0.030855580175703556,0.08684761143434297,0.0,0.0,0.0,0.0,0.0,0.0,-0.023693965089901625,0.07421658710762484,-0.02144349548677915,0.06945235714934915,0.011118923489909838,0.14239838094481064,,,-0.011473533108140588,0.049421590193309314,0.002925021418025732,0.008393574595803631
CO2xH,,,,,,,0.0,,,,-5.551115123125783e-17,1.073324277957655e-16,0.0,1.2669627060505747e-16,,,5.551115123125783e-17,1.2244531676038502e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.861747096629412e-17,-0.06103196131686282,0.15319860931832105,,,0.09757140777696696,0.15376571118012858,0.012721056014643517,0.019606416486129076,-0.017078761784676297,0.04492472785379117,0.10707990085667407,0.2681171698426348,,,0.05787564243118739,0.10362235064604768,0.057875642431187466,0.09765579606219733,0.009675820222008025,0.05568608669461557,0.009675820222008025,0.06738156448989048,,,,,0.0,0.0,,,0.0,0.0,,,0.024679372083275874,0.05430442255459912,-0.05644589594375147,0.16341656730753734,,,0.00011193545401397493,0.033191899146567734,0.0037310861803457607,0.006370099880965318,-0.021147650867237765,0.04681458857483634,0.10707990085667429,0.22340033674784388,,,0.05388457154372477,0.10675420825834267,0.0538845715437248,0.08543166685993558,0.009441460784381073,0.06199951059473184,0.009441460784380962,0.05373154365269716,0.024369213439213194,0.06082036042069291,0.02436658433918862,0.06369880336738531,0.0,0.0,0.0,0.0,0.0,0.0,0.022273045378887423,0.056471752132338224,0.022223642913355088,0.05832050661337764,-0.06634209241543741,0.12894815717721003,,,-0.0027127574629980645,0.03522666058304714,0.004855889407312131,0.008690609313115804
PPFDxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxH,,,,,,,0.0,,,,-0.0496056115262446,0.41118098434059336,-0.04960561152624465,0.5143389678022017,,,-0.04960561152624482,0.4688446417774863,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025406155109040096,0.4621242965261449,0.07284677075225218,0.45952704470335837,-0.10196385512878019,0.2017593275188824,,,0.0060857211886352,0.9105226872724467,-0.009672776371275948,0.06476028974152839,0.015193015886829087,0.7642044733502822,-0.11615021328981401,0.40636490338249986,,,0.009236599179459515,0.7107798968585871,0.009236599179459182,0.633973148753959,0.06978694402681573,0.44683102571205563,0.06978694402681573,0.4539844084732436,,,,,0.0,0.0,,,0.0,0.0,,,0.04413430241203542,0.3903989562135602,-0.07578151571337693,0.1710624773419488,,,-0.025841920876073843,1.3956435314779805,0.015029523981925003,0.13344826618649616,0.018610678119367674,0.673638534169582,-0.11615021328981379,0.42075504993903823,,,0.016527551337975677,0.7170191544651384,0.0165275513379759,0.5915617129575533,0.04772397038867593,0.424156499240053,0.04772397038867576,0.4213386301314876,0.0441958313393753,0.4616586640764562,0.0441941466394469,0.46443216207553356,0.0,0.0,0.0,0.0,0.0,0.0,0.04402575813071807,0.3371344802438999,0.05826963234691883,0.38189390751768537,-0.08806450672434354,0.16925434403372702,,,0.010027556180105285,1.0655297233187082,0.028963177207867313,0.1442180544384512
HxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
