Index,AMI_A_mu,AMI_A_mu_star,AMI_A__mu_star_conf,AMI_A_sigma,AMI_CQY_mu,AMI_CQY_mu_star,AMI_CQY__mu_star_conf,AMI_CQY_sigma,AMI_CUE_24_mu,AMI_CUE_24_mu_star,AMI_CUE_24__mu_star_conf,AMI_CUE_24_sigma,AMI_ALPHA_mu,AMI_ALPHA_mu_star,AMI_ALPHA__mu_star_conf,AMI_ALPHA_sigma,AMI_BETA_mu,AMI_BETA_mu_star,AMI_BETA__mu_star_conf,AMI_BETA_sigma,AMI_DCG_mu,AMI_DCG_mu_star,AMI_DCG__mu_star_conf,AMI_DCG_sigma,AMI_CGR_mu,AMI_CGR_mu_star,AMI_CGR__mu_star_conf,AMI_CGR_sigma,AMI_TCB_mu,AMI_TCB_mu_star,AMI_TCB__mu_star_conf,AMI_TCB_sigma,AMI_TEB_mu,AMI_TEB_mu_star,AMI_TEB__mu_star_conf,AMI_TEB_sigma,AMI_VP_SAT_mu,AMI_VP_SAT_mu_star,AMI_VP_SAT__mu_star_conf,AMI_VP_SAT_sigma,AMI_VP_AIR_mu,AMI_VP_AIR_mu_star,AMI_VP_AIR__mu_star_conf,AMI_VP_AIR_sigma,AMI_VPD_mu,AMI_VPD_mu_star,AMI_VPD__mu_star_conf,AMI_VPD_sigma,AMI_P_GROSS_mu,AMI_P_GROSS_mu_star,AMI_P_GROSS__mu_star_conf,AMI_P_GROSS_sigma,AMI_P_NET_mu,AMI_P_NET_mu_star,AMI_P_NET__mu_star_conf,AMI_P_NET_sigma,AMI_g_S_mu,AMI_g_S_mu_star,AMI_g_S__mu_star_conf,AMI_g_S_sigma,AMI_g_A_mu,AMI_g_A_mu_star,AMI_g_A__mu_star_conf,AMI_g_A_sigma,AMI_g_C_mu,AMI_g_C_mu_star,AMI_g_C__mu_star_conf,AMI_g_C_sigma,AMI_DTR_mu,AMI_DTR_mu_star,AMI_DTR__mu_star_conf,AMI_DTR_sigma,BOS_A_mu,BOS_A_mu_star,BOS_A__mu_star_conf,BOS_A_sigma,BOS_CQY_mu,BOS_CQY_mu_star,BOS_CQY__mu_star_conf,BOS_CQY_sigma,BOS_CUE_24_mu,BOS_CUE_24_mu_star,BOS_CUE_24__mu_star_conf,BOS_CUE_24_sigma,BOS_ALPHA_mu,BOS_ALPHA_mu_star,BOS_ALPHA__mu_star_conf,BOS_ALPHA_sigma,BOS_BETA_mu,BOS_BETA_mu_star,BOS_BETA__mu_star_conf,BOS_BETA_sigma,BOS_DCG_mu,BOS_DCG_mu_star,BOS_DCG__mu_star_conf,BOS_DCG_sigma,BOS_CGR_mu,BOS_CGR_mu_star,BOS_CGR__mu_star_conf,BOS_CGR_sigma,BOS_TCB_mu,BOS_TCB_mu_star,BOS_TCB__mu_star_conf,BOS_TCB_sigma,BOS_TEB_mu,BOS_TEB_mu_star,BOS_TEB__mu_star_conf,BOS_TEB_sigma,BOS_VP_SAT_mu,BOS_VP_SAT_mu_star,BOS_VP_SAT__mu_star_conf,BOS_VP_SAT_sigma,BOS_VP_AIR_mu,BOS_VP_AIR_mu_star,BOS_VP_AIR__mu_star_conf,BOS_VP_AIR_sigma,BOS_VPD_mu,BOS_VPD_mu_star,BOS_VPD__mu_star_conf,BOS_VPD_sigma,BOS_P_GROSS_mu,BOS_P_GROSS_mu_star,BOS_P_GROSS__mu_star_conf,BOS_P_GROSS_sigma,BOS_P_NET_mu,BOS_P_NET_mu_star,BOS_P_NET__mu_star_conf,BOS_P_NET_sigma,BOS_g_S_mu,BOS_g_S_mu_star,BOS_g_S__mu_star_conf,BOS_g_S_sigma,BOS_g_A_mu,BOS_g_A_mu_star,BOS_g_A__mu_star_conf,BOS_g_A_sigma,BOS_g_C_mu,BOS_g_C_mu_star,BOS_g_C__mu_star_conf,BOS_g_C_sigma,BOS_DTR_mu,BOS_DTR_mu_star,BOS_DTR__mu_star_conf,BOS_DTR_sigma,CAV_A_mu,CAV_A_mu_star,CAV_A__mu_star_conf,CAV_A_sigma,CAV_CQY_mu,CAV_CQY_mu_star,CAV_CQY__mu_star_conf,CAV_CQY_sigma,CAV_CUE_24_mu,CAV_CUE_24_mu_star,CAV_CUE_24__mu_star_conf,CAV_CUE_24_sigma,CAV_ALPHA_mu,CAV_ALPHA_mu_star,CAV_ALPHA__mu_star_conf,CAV_ALPHA_sigma,CAV_BETA_mu,CAV_BETA_mu_star,CAV_BETA__mu_star_conf,CAV_BETA_sigma,CAV_DCG_mu,CAV_DCG_mu_star,CAV_DCG__mu_star_conf,CAV_DCG_sigma,CAV_CGR_mu,CAV_CGR_mu_star,CAV_CGR__mu_star_conf,CAV_CGR_sigma,CAV_TCB_mu,CAV_TCB_mu_star,CAV_TCB__mu_star_conf,CAV_TCB_sigma,CAV_TEB_mu,CAV_TEB_mu_star,CAV_TEB__mu_star_conf,CAV_TEB_sigma,CAV_VP_SAT_mu,CAV_VP_SAT_mu_star,CAV_VP_SAT__mu_star_conf,CAV_VP_SAT_sigma,CAV_VP_AIR_mu,CAV_VP_AIR_mu_star,CAV_VP_AIR__mu_star_conf,CAV_VP_AIR_sigma,CAV_VPD_mu,CAV_VPD_mu_star,CAV_VPD__mu_star_conf,CAV_VPD_sigma,CAV_P_GROSS_mu,CAV_P_GROSS_mu_star,CAV_P_GROSS__mu_star_conf,CAV_P_GROSS_sigma,CAV_P_NET_mu,CAV_P_NET_mu_star,CAV_P_NET__mu_star_conf,CAV_P_NET_sigma,CAV_g_S_mu,CAV_g_S_mu_star,CAV_g_S__mu_star_conf,CAV_g_S_sigma,CAV_g_A_mu,CAV_g_A_mu_star,CAV_g_A__mu_star_conf,CAV_g_A_sigma,CAV_g_C_mu,CAV_g_C_mu_star,CAV_g_C__mu_star_conf,CAV_g_C_sigma,CAV_DTR_mu,CAV_DTR_mu_star,CAV_DTR__mu_star_conf,CAV_DTR_sigma
TEMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.01701470866039588,0.002631806057403889,0.024156979976993606,-2.168404344971009e-19,0.04482362730309898,0.00845742621060372,0.06363925994087478,0.004903712507803568,0.3787112336027473,0.08888634088250968,0.6353051150968884,0.14723396804680233,11.370804788922491,3.2654800378463418,19.075036080784038,0.0,0.0,0.0,0.0,3.6549604224759342,290.73410183030535,68.07890691949507,483.73382298995875,-2.100583002082551,4.738347653304677,0.7731271308817446,6.013695131039426,-128.42615526634694,321.3581287536056,51.16619024242624,415.88428713651706,126.32557226426437,316.82564278981056,49.06711391583767,410.094141519136,-0.3793226437903514,20.880396077404356,4.7586159862968485,33.11374387696984,-0.47208480160984045,13.716421606313933,3.154210938258537,22.242139987067592,-30.579478039298778,62.96670478169088,15.152444102254222,101.37507817172835,0.0,2.48046875,0.4153785570192711,3.5216961467452017,-0.09568904987158726,2.326887088114944,0.40268554849629073,3.1707256314614374,2600.396047070365,6390.890466032851,1142.6423731100924,8878.840770336705,-0.0008001746406260304,0.792505459509385,0.14344973636510638,1.182620131893734,-0.00025151185390874303,0.06351358951699533,0.011838009379674035,0.09056447180479706,0.0,0.6201171875,0.1239888329278762,0.8804240366863004,-7.46798193832292e-05,0.031300567265327255,0.006170950434071714,0.04669930452059918,-0.00011948771101316581,0.050080907624523587,0.009212918767091733,0.0747188872329588,0.012000989419492292,0.7446960998670767,0.17722395914718506,1.27259715973878,0.3603507090517394,22.36080361668374,5.15888322649399,38.21195676618641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.100583002082551,4.738347653304677,0.7706866233710453,6.013695131039426,0.0,0.0,0.0,0.0,126.32557226426437,316.82564278981056,47.32757687272879,410.094141519136,0.0,0.0,0.0,0.0,-0.6503908811032274,25.083694199379135,5.800524407468837,40.27991104946893,-54.691674323687565,113.81153681806755,23.053042235722476,178.92606650477234,0.0,2.48046875,0.5041726872465764,3.5216961467452017,-0.06476422510729449,2.3029720400112867,0.4317714424471334,3.2272963284017564,2556.287960256424,6304.628261107111,1187.130897828754,8909.17270516841,-0.001225195107296198,0.7871832850420551,0.1462958870220407,1.176909872529051,-0.00025151185390874303,0.06351358951699533,0.011500139052979507,0.09056447180479706,0.0,0.6201171875,0.11033514394649215,0.8804240366863004,-9.264430050514081e-05,0.031074754100880224,0.006025644505132925,0.0464384279859224,-0.00014823088080822644,0.049719606561408336,0.01126554634245612,0.0743014847774758,0.0063735872823171905,0.7435473426304222,0.18445998442493675,1.2735023610813678,0.1913669581515735,22.325008962478435,5.8283598495977085,38.23690839146805,-3.528062813012431,351.92140889699755,87.0169194311733,654.373189496988,-3.3511059803042595,334.3087307360671,91.55431197792812,621.6196325267263,-2.100583002082551,4.738347653304677,0.7096685108393804,6.013695131039426,-128.42615526634694,321.3581287536056,58.10139545166974,415.88428713651706,126.32557226426437,316.82564278981056,51.742235249527866,410.0941415191359,-0.6585576459633024,24.994675784440687,6.0058602637933145,40.22597277372147,-0.7028186687571707,19.831152571729437,4.428385412642244,32.07291113443951,-43.77376454350865,90.13922863000839,20.270133274412192,141.5789433221966,0.0,2.48046875,0.45718932686245234,3.5216961467452017,-0.08328423433497442,2.2711736261432853,0.3896927742690716,3.1740754767066246,2546.0174926696595,6238.711438450743,1090.0293722685726,8832.84564050701
RH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402941732079166,2.7336992683547558e-17,0.03416312870943962,0.0,0.0896472546061981,8.201097805064268e-17,0.08999950450777194,-0.04718122924555751,0.7604702217515097,0.09261357603447334,0.9089847142262885,-1.4166164080978634,22.833118408089057,2.7750777039444534,27.292266044644315,0.0,0.0,0.0,0.0,-35.16632047695581,583.7398340274758,62.7108771791061,691.8418638265574,-0.014036877573634823,6.044625594519101,0.4920158886105802,6.587047456637091,19.29993609480394,398.8536869300166,42.464388548700946,471.0723223435064,-19.313972972377563,393.1680338239663,44.23167812173077,465.0788891361024,-1.8804662495116946,41.787988480960145,3.673683439245959,46.825324971218116,-0.9879521336394619,27.402386018565238,2.803198264035706,31.35609039222337,-1.559527867101175,76.68115362904109,12.038076121550546,101.18161237707318,0.0,4.9609375,0.0,4.980430453284134,-0.0009423311668712367,4.421518718819001,0.0796371535022322,4.466730732379224,-606.3046267391073,7777.864734621313,1107.2734105949264,9895.840099170493,-0.037736328561730856,1.592864636324237,0.0929015641249932,1.6787320281876361,0.0011644897615835591,0.1271375505704451,0.0022557948112986725,0.1282513824357095,0.0,1.240234375,0.0,1.2451076133210335,-0.0009999135636769565,0.06294416994458857,0.0038309043904417063,0.06636962283280437,-0.00159986170188313,0.10071067191134175,0.0053450050376370115,0.10619139653248698,-0.07417801255468291,1.4974081472829877,0.16077455128091236,1.8064056763066845,-2.227324638476326,44.962300086429444,5.117551902213675,54.24049164104172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014036877573634851,6.044625594519102,0.4179274983126855,6.587047456637091,0.0,0.0,0.0,0.0,-19.313972972377556,393.1680338239663,42.64836352196606,465.07888913610236,0.0,0.0,0.0,0.0,-1.8598523371895443,50.15352840094165,4.179051334602977,56.65136121568574,0.8358266573358111,137.35553766315908,19.35497906024047,180.86715504903148,0.0,4.9609375,0.0,4.980430453284134,-0.04369782044182294,4.469927957333291,0.1518381070803223,4.565374199758443,-521.2777023826928,7736.298385928637,1123.0323581819064,9932.298779193803,-0.03676194283148761,1.5815796691215238,0.0865106572503977,1.6698383455705845,0.0011644897615835583,0.1271375505704451,0.002236800972833956,0.1282513824357095,0.0,1.240234375,0.0,1.2451076133210335,-0.0009545388226802423,0.0624649557606676,0.0037228404974949504,0.06596524839515829,-0.0015272621162883884,0.0999439292170682,0.005195626874613913,0.10554439743225327,-0.07877922651196195,1.4919834825978024,0.17513103385365475,1.804040483210931,-2.3653462760216577,44.796804064999,5.116071507762282,54.16631550840821,-52.59074700695233,704.6003694231542,98.29104175907003,920.4268323300728,-49.956851810453216,669.3376939123611,95.56098651131282,874.357760651138,-0.014036877573634823,6.044625594519101,0.41215856017430097,6.587047456637091,19.29993609480394,398.8536869300166,42.355196299602355,471.0723223435064,-19.313972972377584,393.1680338239663,42.14687459693718,465.0788891361025,-1.8390205311184653,49.96132540351649,4.434910274868315,56.565128644978145,-1.2919425692298416,39.60032899658731,3.576504470302574,45.0596831264344,0.405211622189793,108.36881877599704,16.4417033008277,143.41084778544777,0.0,4.9609375,0.0,4.980430453284134,-0.05207767490680532,4.381190971045478,0.1487174330700529,4.487600219022263,-500.31927280430585,7594.4583521910645,1088.414236237351,9780.17998255324
CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402941732079166,2.7336992683547558e-17,0.03416312870943962,0.0,0.0896472546061981,8.201097805064268e-17,0.08999950450777194,0.009034813977035034,0.758532282167539,0.08720730054890975,0.9130425036116809,0.27127028966047695,22.774931772080354,2.514579825887118,27.414101170940718,0.0,0.0,0.0,0.0,6.734058625571064,582.2953993324794,66.91806829985936,694.7684589641932,0.033374962584171684,6.044625594519101,0.4322403641403858,6.586977313037393,10.963971213339537,393.32312780233315,32.07623316573679,438.70091983308373,-10.930596250755364,387.278502207814,33.815116919638896,432.2603614432985,0.9607233738112751,41.787988480960145,3.4214020104275567,46.85343956070422,0.7898143250703973,27.439045479585214,2.442514660829933,31.491955146115753,10.555568269203633,78.33021521520907,12.994985057292446,108.39552517177245,0.0,4.9609375,0.0,4.980430453284134,-0.028857790913304815,4.423074610636605,0.08406144747377739,4.470123307985011,-118.92132176813733,7648.974174872774,869.7771022565956,9266.64265819226,-0.029367124034824485,1.586619843603909,0.07749440413106072,1.6775829782466884,-0.0017166849097473569,0.12705826031538198,0.0034519581215444912,0.12885937881035822,0.0,1.240234375,0.0,1.2451076133210335,-0.0026080200809696797,0.06268534005266209,0.003987488007814077,0.066854971780166,-0.004172832129551489,0.10029654408425936,0.006594199261913753,0.10696795484826557,-0.028568417755889357,1.5014729352564262,0.1717652462791905,1.8265526183180374,-0.8578167378516502,45.084352458710896,5.648904136876802,54.845438832081115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03337496258417177,6.044625594519102,0.45593763110512875,6.586977313037393,0.0,0.0,0.0,0.0,-10.930596250755372,387.278502207814,32.604860556630676,432.2603614432985,0.0,0.0,0.0,0.0,-0.24869350923889555,50.24670607833106,4.455927819072534,56.93797779520109,15.3161340421695,141.6909980581233,20.429119173347843,184.53373954563415,0.0,4.9609375,0.0,4.980430453284134,-0.057780796364159774,4.465742259053177,0.14304968285180633,4.558810619934479,-70.48475904177673,7690.60494950257,1011.8541887473649,9356.157339659865,-0.027335753916810233,1.576601811538743,0.089690720137822,1.6700245481509899,-0.0017166849097473612,0.12705826031538198,0.0032185540870896265,0.1288593788103582,0.0,1.240234375,0.0,1.2451076133210335,-0.002533518851717379,0.06226079990044135,0.0039040980582607967,0.06650569739023857,-0.004053630162747797,0.09961727984070622,0.006333539403357968,0.10640911582438174,-0.022232017496008172,1.494695208907998,0.19151165340811913,1.8210204954129747,-0.6675163253176472,44.87822364746262,5.246654969950417,54.67614037477457,-3.924145074420867,707.1476075843598,95.73851132484701,927.0785167513369,-3.728537490464981,671.7568048159894,88.79443195168633,880.676907092998,0.033374962584171684,6.044625594519101,0.432012484866468,6.586977313037393,10.963971213339537,393.32312780233315,30.630217166586853,438.70091983308373,-10.930596250755372,387.27850220781386,32.03167605566808,432.2603614432985,-0.20701542056519256,50.08627969695814,4.55700088086471,56.887001311222065,-0.05262641017624725,39.70645185731928,3.962313171446201,45.40471470833071,12.844271754481255,111.9942480703268,15.543002523557115,146.10294894701332,0.0,4.9609375,0.0,4.980430453284134,-0.05570621637220514,4.380225312818799,0.15052397337449067,4.483650181038907,-65.65413080414866,7542.049401524875,811.6849501294741,9201.605414121817
PPFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402941732079166,2.7336992683547558e-17,0.03416312870943962,0.0,0.0896472546061981,8.201097805064268e-17,0.08999950450777194,-0.031248053630570864,0.9340047705446269,0.13491933513126228,1.2094231526088366,-0.9382228102578917,28.04349323560243,4.438197233255605,36.31293015708033,0.0,0.0,0.0,0.0,-23.290598524565347,706.9642429969597,110.92830240960559,912.2605190131757,0.09583531859276619,6.044625594519101,0.453314269967828,6.586359848573729,7.976185817019482,392.53627323144747,33.08507118136853,435.580914798515,-7.880350498426706,386.4916476369282,31.67091484979862,429.13116364595015,-4.529019812876717,49.92241345100066,6.880439134698853,62.06194830478508,-3.937909123206775,32.865516031039164,4.175692964949171,41.013908102209754,-9.939473364509059,92.37891065321308,14.586133999572045,128.44472911413052,0.0,4.9609375,0.0,4.980430453284134,-0.09201271828449051,4.432786196215015,0.15388548498042023,4.53589479964207,-313.46226091113425,7561.704979261294,873.1687013273033,9190.528143737332,-0.23295588494630892,1.8084144171854506,0.12562035993061726,1.9485313288615238,0.002095421969325794,0.12705826031538195,0.0046585304048249706,0.12967935927281318,0.0,1.240234375,0.0,1.2451076133210335,-0.008827995302719015,0.07063312565769066,0.005356888697453194,0.07626375773237541,-0.01412479248435041,0.1130130010523051,0.008151895189166942,0.12202201237180066,-0.14237300957017263,2.0049494330200055,0.2226138008571124,2.4376665350475295,-4.2749987651111825,60.20211538793345,6.897571029763805,73.1952036312384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09583531859276624,6.044625594519102,0.4495016757018523,6.586359848573729,0.0,0.0,0.0,0.0,-7.880350498426704,386.4916476369282,31.217634749707376,429.13116364595015,0.0,0.0,0.0,0.0,-8.597443362747033,65.34378417776071,7.180282478547561,76.5339162641122,-17.025069741506513,179.2998787033425,26.71054642061183,238.53589871110069,0.0,4.9609375,0.0,4.980430453284134,-0.25606173730296866,4.652320797750875,0.21622316122819069,4.831193311176005,-104.07902813013177,7839.3797666274095,890.6291777090836,9578.224497843103,-0.2385130971953584,1.8034046575949418,0.12189961572115758,1.948713292624419,0.0020954219693257925,0.12705826031538195,0.004147085174738803,0.12967935927281318,0.0,1.240234375,0.0,1.2451076133210335,-0.009088449087899375,0.0704241210520374,0.005115825127824356,0.07613277957535967,-0.01454151854063899,0.11267859368325976,0.0072024589321353335,0.12181244732057545,-0.14083547659241025,2.0093595004028986,0.2415979257751926,2.4479617403841765,-4.228585184687118,60.331018999597035,8.445363814398057,73.50005125503492,-58.97517207038686,1066.2049633598551,141.18975703257553,1382.5616821441106,-56.02478743310762,1012.839400773577,153.64658907248895,1313.3537795861164,0.09583531859276619,6.044625594519101,0.4142645158337151,6.586359848573729,7.976185817019482,392.53627323144747,29.247812949461405,435.580914798515,-7.880350498426713,386.4916476369282,30.17022722359171,429.13116364595015,-8.67264691415055,65.50844693354415,6.814024632836745,76.7280876110253,-7.694622771147705,51.69935958180611,5.764011656565344,60.797803941400595,-17.147602114344462,141.08310376082733,22.585371863795583,188.27857890141632,0.0,4.9609375,0.0,4.980430453284134,-0.283755156342537,4.58948824077525,0.21757409600362923,4.788837049041227,-86.89876401051855,7757.276537001899,992.1673188427364,9530.104785293133
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000531709645637371,0.01701470866039588,0.0025975227582763355,0.024151081556694008,-0.001400738353221844,0.04482362730309898,0.008029067637975985,0.06362372111511738,-0.08200912934747359,0.7167955983572479,0.09449776233055805,0.9280222397068711,-2.4623241086578935,21.521787840676364,2.7242186935784694,27.863867747198796,0.0,0.0,0.0,0.0,-61.38962171129641,540.0789875280203,72.34497258594146,698.7946533311857,-0.12491223016557398,3.02118050041077,0.6426863459710712,4.652925899422911,-9.406286629341874,195.81644132901215,37.47609408569724,306.22178497956867,9.281374399176286,192.7952608286013,34.6354850834715,301.66189866389567,-1.485395251688928,32.65294293086588,3.669408763696945,38.903563537691866,0.06594850817938785,22.529649899573958,3.0193067789723678,27.529873802795187,4.710880465980692,62.17098778001661,11.802549009166581,89.78882128850154,-0.0775146484375,2.48046875,0.38126988575823195,3.52083625266652,-0.0770646000076948,2.3900442739840244,0.32479944075844436,3.1852757033326893,1015.6855701130929,5885.6283317744255,973.238403026688,8556.181676648193,0.022930942531925694,1.0058651979428004,0.11466339506333573,1.2900333347181459,-0.0016034651173161352,0.06897457473721487,0.011064099684639126,0.09110502456223923,-0.019378662109375,0.6201171875,0.12205443192077707,0.88020906316663,0.0011476587544603973,0.04037633202594926,0.005425212880009658,0.05051840097339722,0.0018362540071366331,0.06460213124151884,0.010089999312584278,0.08082944155743559,-0.16894730782378067,1.4785046691611954,0.20472065398780484,1.8725005927594003,-5.072938575197705,44.39469007473594,6.163715342804696,56.22510717363833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12491223016557393,3.02118050041077,0.582802353338052,4.652925899422911,0.0,0.0,0.0,0.0,9.281374399176286,192.7952608286013,38.788527245086186,301.66189866389567,0.0,0.0,0.0,0.0,-1.038210182808926,39.784725289110476,4.237180946506304,47.75785957921308,4.819520980603869,110.73576362386909,16.546872452617727,150.71507156844328,-0.0775146484375,2.48046875,0.4631828174150077,3.52083625266652,-0.04703058794907103,2.5173485527709123,0.36715360661838853,3.326126770992413,907.0347361328443,6101.516424591372,1111.8001516497864,8697.688446260428,0.02273397020625191,1.008111110090646,0.11145880562110183,1.287989110189328,-0.0016034651173161356,0.06897457473721487,0.01024277637892637,0.09110502456223923,-0.019378662109375,0.6201171875,0.10774123049795918,0.88020906316663,0.0011310551680003317,0.040216681165441595,0.005502109394976239,0.0503695852432093,0.001809688268800529,0.06434668986470657,0.008308883422227948,0.08059133638913489,-0.14992495269055187,1.4716490306686743,0.182648667381682,1.8586531851050572,-4.501496704533818,44.18626214582693,5.888316893772364,55.80606188277933,-80.58816385666725,771.1472035544275,104.81688062962195,991.3416595602127,-76.55275210881526,732.5500349215923,114.25066771671969,941.7208489427849,-0.12491223016557398,3.02118050041077,0.61320765692753,4.652925899422911,-9.406286629341874,195.81644132901215,39.03200176761825,306.22178497956867,9.281374399176293,192.7952608286013,42.074717748400545,301.66189866389567,-1.0476186884695369,39.82129820203678,4.5532661186272625,47.827118463547514,-0.006473183674034266,32.30442953019916,3.3851421173205947,38.616053943737434,5.8546947546172055,89.43181802997594,13.602032288610625,122.19795417883817,-0.0775146484375,2.48046875,0.384372090354837,3.52083625266652,-0.02369063858143749,2.508208240196746,0.34931475921395316,3.2866483692656923,850.5913615159197,5966.515522417461,1083.5933935022317,8493.703141992415
