Index,A_ST,A_ST_conf,CQY_ST,CQY_ST_conf,ALPHA_ST,ALPHA_ST_conf,BETA_ST,BETA_ST_conf,DCG_ST,DCG_ST_conf,CGR_ST,CGR_ST_conf,VP_SAT_ST,VP_SAT_ST_conf,VPD_ST,VPD_ST_conf,P_NET_ST,P_NET_ST_conf,g_S_ST,g_S_ST_conf,g_C_ST,g_C_ST_conf,DTR_ST,DTR_ST_conf
TEMP,0.741950325755181,0.24513243662902928,0.8727617204659044,0.2850466796920649,0.5522336828410047,0.224975252342599,0.4409996560266698,0.2703852034001623,0.2512943752221126,0.1415537070123413,0.2513053069176776,0.15995082036671912,1.013320997606772,0.2404478315656789,0.7714668163186797,0.27678565826628587,0.2422488434675988,0.14322132344614805,0.3568239705355631,0.31069037356702306,0.2308684807237344,0.38958613782908713,0.505370495654114,0.22316503796947662
RH,0.9024882066042862,0.26355462175163974,0.9170746652655619,0.22043082290346072,0.5814751776041348,0.2237080163245814,0.33591940287782696,0.2285921137942851,0.4084589591647454,0.2007095972975352,0.4084862371839056,0.19991651233162436,2.557875707389298e-33,2.7106461875679297e-33,0.2161347102353544,0.10305716329602856,0.37998303020538826,0.1984536433295454,0.12864598552202477,0.1374340023587979,0.12174624880578826,0.24936420687576677,0.16026295095370452,0.0832987574964071
CO2,0.8668717367577398,0.2768646964579165,0.9980685173973728,0.24476025169094193,0.6468563071291914,0.20032211394653446,0.5169443753997285,0.2771914746889219,0.25039979360959785,0.14246540701719604,0.25040280854975594,0.14767487621266015,3.948156385993834e-33,4.2778575540424834e-33,6.396979725990244e-33,5.205555868009874e-33,0.223981544180716,0.09392989425612941,0.2053171010766915,0.10915071465913567,0.2694017111526497,0.38388382370477847,0.008570697311483725,0.007822314257857926
PPFD,0.919138455948469,0.24265123413857811,0.7966211245207746,0.25158116940237063,1.0177582044523308,0.30437803328037427,1.0579988714306379,0.36020047870560856,0.7957194432284718,0.3263414369516402,0.7957171833359284,0.38634663834887567,1.540743955509789e-33,2.5103383622297942e-33,2.4259453516524273e-32,2.797809870283748e-32,0.9825415557827454,0.31126600841430035,0.40474325675699935,0.45422561658787497,1.0774411645903323,0.6082765724409335,0.1202965596009308,0.1591683862619861
H,0.9118289271814272,0.2739715142450274,0.9256204537392538,0.22854897496108073,0.6432225218718086,0.25216411740113387,0.37882441806298345,0.21200145450784427,0.41761307841118395,0.22196633151449896,0.41761179476760224,0.2512581995825931,9.031558196237801e-34,1.7063971111737788e-33,1.1208605296040434e-32,1.035835321054197e-32,0.3638464721544855,0.15233898728571507,0.17699172700249574,0.17706913118919854,0.1374549637272883,0.2624096127686006,0.5144334231211524,0.27217231261486863
STRU,0.7311770701098947,0.2776896697572523,0.7124482660193807,0.22757962456891673,0.5167133439618058,0.22324363317226362,0.28225867391345294,0.20993272897667173,0.2770793330527536,0.14974049191998648,0.27710072604603986,0.14867094523598076,2.7925984193614923e-33,2.946177492122905e-33,1.1279987636568391e-32,1.108172690295538e-32,0.27920523443692735,0.14936591333311153,0.12363819282897702,0.1300365233136595,0.12397755882899056,0.2972064851871593,0.00509702859864473,0.0064198364147203925
