Index,A_S2,A_S2_conf,CQY_S2,CQY_S2_conf,CUE_24_S2,CUE_24_S2_conf,ALPHA_S2,ALPHA_S2_conf,BETA_S2,BETA_S2_conf,DCG_S2,DCG_S2_conf,CGR_S2,CGR_S2_conf,TCB_S2,TCB_S2_conf,TEB_S2,TEB_S2_conf,VP_SAT_S2,VP_SAT_S2_conf,VP_AIR_S2,VP_AIR_S2_conf,VPD_S2,VPD_S2_conf,P_GROSS_S2,P_GROSS_S2_conf,P_NET_S2,P_NET_S2_conf,g_S_S2,g_S_S2_conf,g_A_S2,g_A_S2_conf,g_C_S2,g_C_S2_conf,DTR_S2,DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012340997046473845,0.0631205805810284,-7.953325894756447e-05,0.002423784537731166,-0.00036966329390486496,0.014692479552564459,0.0,0.0,0.0,0.0,-0.00019787977582644278,0.004048398868414285,,,-0.00043731912706751475,0.004120318179939196,-0.0001326944303224331,0.006096707716123267
TEMPxCO2,-8.673617379884035e-19,9.25995779270875e-18,1.0842021724855044e-18,4.118414411612167e-18,0.0,0.0,0.0,3.6695776260840446e-17,0.0,6.454309707756489e-17,0.0,2.405189339548293e-17,0.0,2.2573719306938867e-17,1.734723475976807e-18,1.3270809547029495e-17,0.0,8.307947717289312e-18,-0.0012340997046473845,0.0631205805810284,-3.470445799622242e-05,0.0024166828949338556,-0.0004085214694498178,0.009938389099419968,4.336808689942018e-19,3.9401904817523955e-18,6.938893903907228e-18,2.8122246129224123e-17,-0.0005732200647670591,0.00396072009002977,,,-0.00017286263820199405,0.004207158239474872,-0.00043600163415649944,0.005685784842013466
TEMPxPPFD,0.0,1.8171390701153283e-17,8.199278929421627e-19,1.5596741820492555e-18,0.0,0.0,0.0,4.8669060821019166e-17,0.0,8.28162000120381e-17,0.0,7.0349083046301e-17,0.0,7.841667694335032e-17,0.0,2.5423403195699227e-17,0.0,3.74015119271275e-17,-0.0012340997046473845,0.0631205805810284,-3.470445799622242e-05,0.0024166828949338556,-0.0004085214694498178,0.009938389099419968,0.0,1.995893006450427e-17,-5.551115123125783e-17,9.469812050808608e-17,-0.0008809514693267628,0.0043479977314816315,,,-0.00017968302840126738,0.004471569422725226,-0.0004795537041492482,0.005628783003063767
TEMPxH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,7.682424544464512e-17,0.0,8.238192224154394e-17,-6.938893903907228e-18,1.9216151037020936e-17,1.3877787807814457e-17,4.5628216989734644e-17,-0.0012340997046473845,0.0631205805810284,-3.470445799622242e-05,0.0024166828949338556,-0.0004085214694498178,0.009938389099419968,0.0,0.0,0.0,1.656551128914175e-17,-0.0004020727342519022,0.0038868250386209,,,-0.0002090755694072466,0.004273487048481416,-0.0006302452892207738,0.005389475263066799
TEMPxSTRU,0.0,1.0879985715362162e-16,1.1102230246251565e-16,1.5151699281293774e-16,0.0,0.0,0.0,1.1174913224776715e-16,0.0,8.798945226921375e-17,0.0,8.94450359194732e-17,0.0,9.841317366077119e-17,0.0,1.3302754782921573e-16,0.0,1.8269948480827183e-16,-0.0012340997046473845,0.0631205805810284,0.00022077895723471297,0.0021200255187148543,-0.0004085214694498158,0.009938389099419962,0.0,1.752162621436219e-16,0.0,1.0926045733823112e-16,-0.0004306281541691104,0.004699122404772476,,,-0.0003335578695639052,0.004944388797879707,8.34237247886449e-05,0.006820839884088639
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,-8.673617379884035e-19,9.25995779270875e-18,1.0842021724855044e-18,4.118414411612167e-18,0.0,0.0,0.0,3.6695776260840446e-17,0.0,6.454309707756489e-17,0.0,2.405189339548293e-17,0.0,2.2573719306938867e-17,1.734723475976807e-18,1.3270809547029495e-17,0.0,8.307947717289312e-18,0.0,0.0,-0.0034847655404339865,0.013629153341386155,1.9464279128023065e-05,0.058800757114536736,4.336808689942018e-19,3.9401904817523955e-18,6.938893903907228e-18,2.8122246129224123e-17,-0.005434582627508296,0.02667675780197877,,,0.003824538801621813,0.02585861360923043,-0.0038101787525930604,0.02888531915374503
RHxPPFD,0.0,1.8171390701153283e-17,8.199278929421627e-19,1.5596741820492555e-18,0.0,0.0,0.0,4.8669060821019166e-17,0.0,8.28162000120381e-17,0.0,7.0349083046301e-17,0.0,7.841667694335032e-17,0.0,2.5423403195699227e-17,0.0,3.74015119271275e-17,0.0,0.0,-0.0034847655404339865,0.013629153341386155,1.9464279128023065e-05,0.058800757114536736,0.0,1.995893006450427e-17,-5.551115123125783e-17,9.469812050808608e-17,-0.004837476611768088,0.025268678658944565,,,0.0067217427382808,0.031026263090272444,-0.004051530256165323,0.028694536212355744
RHxH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,7.682424544464512e-17,0.0,8.238192224154394e-17,-6.938893903907228e-18,1.9216151037020936e-17,1.3877787807814457e-17,4.5628216989734644e-17,0.0,0.0,-0.0034847655404339865,0.013629153341386155,1.9464279128023065e-05,0.058800757114536736,0.0,0.0,0.0,1.656551128914175e-17,-0.005805364323848549,0.0264156271383888,,,0.0059843069840859325,0.025958048096407893,-0.0017088256525761014,0.02887624961872115
RHxSTRU,0.0,1.0879985715362162e-16,1.1102230246251565e-16,1.5151699281293774e-16,0.0,0.0,0.0,1.1174913224776715e-16,0.0,8.798945226921375e-17,0.0,8.94450359194732e-17,0.0,9.841317366077119e-17,0.0,1.3302754782921573e-16,0.0,1.8269948480827183e-16,0.0,0.0,0.010468696362728402,0.012676172219700813,1.9464279128025085e-05,0.058800757114536764,0.0,1.752162621436219e-16,0.0,1.0926045733823112e-16,0.002104697650190057,0.030644309313349282,,,0.00603969706411478,0.029937890567486237,0.0050217999531184665,0.04147310284695854
CO2xTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xPPFD,5.855831701932074e-06,0.007659709934348696,-0.00017921703309110572,0.0028910388528379364,0.0,0.0,0.0034197917514567355,0.03147678217627765,0.00835168902631861,0.032046758020035364,0.002636616235656697,0.019435546118708697,0.0026359294921112775,0.022329196902712404,0.0002871408937729844,0.010957524628243755,0.001119540701664333,0.007282149674085255,0.0,0.0,0.0,0.0,0.0,0.0,0.0020954704900611014,0.006796935526798021,0.0012264802705590494,0.02573933984575256,-0.0012740921896938762,0.01481487955516174,,,-0.0013108652987675051,0.01969712785954559,-0.0001469200515092214,0.001810874908360542
CO2xH,-0.0002475634815873795,0.007236619245867733,-0.00017758236282439327,0.002891444159571431,0.0,0.0,0.0004258927304458676,0.02789951805298542,0.003700997273152151,0.030377535491727906,0.0010383801547778626,0.018963459671345034,0.0010377074718948553,0.021750045867453688,0.00022683189770511536,0.011529850902694233,0.0004902326241044835,0.007463197353293211,0.0,0.0,0.0,0.0,0.0,0.0,0.0014935533266182185,0.00648814024513729,-0.002200553952912354,0.022206659891566952,-0.0038699197834471295,0.01397405746527662,,,-0.004111418701747416,0.019202568685457333,-0.0001224526962080308,0.0018096163781295654
CO2xSTRU,0.0039208407050826954,0.007229952542598641,0.000602509996736833,0.002667283045846096,0.0,0.0,0.052369216248310924,0.028742150659969306,0.08117220273576364,0.034284307237180435,0.025785274954440995,0.0191897762537559,0.025783532067157777,0.021125952587468334,0.006611645162197921,0.009615043675163703,0.004098466059808792,0.0067348993110556005,0.0,0.0,0.0,1.098715873155599e-16,-3.0175526389362404e-19,8.600398533637406e-19,0.008041987252529803,0.005871460595015198,0.029232628871854516,0.02712077819958002,0.009972838243295534,0.01281786962489033,,,0.026239044594788707,0.020489849222193497,8.635721151672993e-05,0.002125077387706613
PPFDxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxH,0.002621418043697577,0.01417172803613905,-4.5658548421939076e-05,0.00038993227793052143,0.0,0.0,0.010237778986466106,0.04199415877102817,0.007647299465643409,0.04286295187879993,0.01189048964467343,0.04813567803747521,0.01188933835381406,0.0517215061635815,0.0036146161330306223,0.021697647480731434,0.0005898442104666224,0.015224493917527001,0.0,0.0,0.0,0.0,0.0,0.0,-0.002763771870207009,0.013290816342274801,0.006929205272416326,0.04064265174648598,0.0024806099579757386,0.03654677682387194,,,0.000757471419048597,0.03348176608703373,0.0006688275941796051,0.004542691214034841
PPFDxSTRU,0.015193157970988636,0.014286044531222225,-1.7124218114616951e-06,0.00032624833134640714,0.0,0.0,0.09920658329613086,0.03941158646921909,0.15159707108787834,0.04687186750579558,0.060076212165810994,0.046177070826835025,0.060073656821081456,0.04797850489708471,0.024543649087893415,0.01902830387232402,0.0022821430683465094,0.019573184648719263,0.0,0.0,0.0,1.098715873155599e-16,-3.0175526389362404e-19,8.600398533637406e-19,0.018736833466078906,0.01232943046980434,0.07660859170412637,0.058604404385700144,0.06620919190972291,0.04439782513812982,,,0.041996500318713326,0.03676620298977503,0.002040318816486031,0.0055309000758976
HxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxSTRU,0.0,1.0879985715362162e-16,1.1102230246251565e-16,1.5151699281293774e-16,0.0,0.0,0.0,1.1174913224776715e-16,0.0,8.798945226921375e-17,0.004419886786428295,0.03702518119478921,0.004421381920226952,0.03600660518402193,0.017576243882926668,0.014337335803838086,0.014094238252217783,0.03387540734146058,0.0,0.0,0.0,1.098715873155599e-16,-3.0175526389362404e-19,8.600398533637406e-19,0.0,1.752162621436219e-16,0.028571052447416756,0.010821294176650832,0.024579441843548044,0.012799797174613905,,,0.03516537520854396,0.0187969659853746,0.04403338988978811,0.024599805205076423
STRUxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUxSTRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
