Index,A_ST,A_ST_conf,CQY_ST,CQY_ST_conf,CUE_24_ST,CUE_24_ST_conf,ALPHA_ST,ALPHA_ST_conf,BETA_ST,BETA_ST_conf,DCG_ST,DCG_ST_conf,CGR_ST,CGR_ST_conf,TCB_ST,TCB_ST_conf,TEB_ST,TEB_ST_conf,VP_SAT_ST,VP_SAT_ST_conf,VP_AIR_ST,VP_AIR_ST_conf,VPD_ST,VPD_ST_conf,P_GROSS_ST,P_GROSS_ST_conf,P_NET_ST,P_NET_ST_conf,g_S_ST,g_S_ST_conf,g_A_ST,g_A_ST_conf,g_C_ST,g_C_ST_conf,DTR_ST,DTR_ST_conf
TEMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997776798622029,0.026975244710772995,0.0009889616925314142,5.705740916983059e-05,0.025621379982778785,0.0013668362747008154,0.0,0.0,0.0,0.0,0.00463817768299761,0.0002406130856172504,,,0.004751473200559021,0.0002557727411994208,0.0006318710297528848,4.299308023628039e-05
RH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665388529842331,0.0021388835058076252,0.9742588947744185,0.03163932529892173,0.0,0.0,0.0,0.0,0.17027557468275972,0.010078710209569323,,,0.18988895076645523,0.010028036730493635,0.023842589025469586,0.0019267405480151273
CO2,0.011524117641176524,0.0006928652101537684,0.0020344635410758185,0.00013964700286856594,0.0,0.0,0.15676347670032753,0.009870729903207707,0.24301429335945324,0.015255734392464236,0.08266754569234858,0.006407100583523805,0.08266330107989193,0.006550992386150504,0.020868718454507978,0.0014689091969480414,0.012857290104653881,0.0008462363231363594,0.0,0.0,0.0,0.0,0.0,0.0,0.009412341866906558,0.000839056125727672,0.09325033228529467,0.006207769158142303,0.056556375663069224,0.004604073790979283,,,0.08574862699108904,0.006888523540354009,1.3916612567399332e-05,1.3065918003244223e-06
PPFD,0.04414645391442519,0.002783038057174514,3.091747935260358e-05,2.002875881439366e-06,0.0,0.0,0.2916637251280654,0.019282228236387464,0.4521362727625353,0.024131398074267316,0.33428916724482355,0.02013147397667986,0.3342714763626108,0.019699475368453966,0.0823452180141059,0.005191418885925518,0.062461935108034654,0.0037900183531516477,0.0,0.0,0.0,0.0,0.0,0.0,0.04227311895122033,0.003586934682041799,0.37947465233696875,0.022418838816783717,0.327269127273518,0.02397979855838576,,,0.2925717069300222,0.018147609559090193,0.0004934236076555341,4.5292832251258875e-05
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29507933145207405,0.015236164307085917,0.2950603767491704,0.015773248582772615,0.06164627402848652,0.0038097524160344708,0.12143431616416307,0.006836479554920615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050283038426355196,0.00366855135593548,0.04464901263557476,0.0032692052616588928,,,0.0812280073985046,0.0059635680459525124,1.4812692196158317e-05,9.168867869298072e-07
STRU,0.9575417800851798,0.02770024532437411,0.9957744474203092,0.030998431171027456,0.99804700163759,0.029998523603718043,0.6891141725105565,0.03585597090880988,0.5374436111948729,0.033944928434600403,0.39519563418995923,0.025170887682562433,0.39523389916492174,0.024553092470571355,0.8873697652463839,0.029829836600870397,0.8265006182205333,0.030285425144660993,0.0,0.0,0.9715125129208159,0.031776678020942285,2.707468940111386e-31,3.507126339880549e-32,0.9709980721584685,0.03273766863696629,0.5996828312994069,0.03206582392734336,0.4947746005954525,0.027314655411043526,,,0.462745160028981,0.02524363669014872,0.9872868858870083,0.03365987275748578
