[            ST   ST_conf
TEMP  0.011432  0.000573
RH    0.431582  0.019978
CO2   0.000430  0.000026
PPFD  0.015318  0.000930
H     0.551694  0.020558,             S1   S1_conf
TEMP  0.010889  0.005164
RH    0.421506  0.027967
CO2   0.000373  0.000872
PPFD  0.014732  0.004736
H     0.541596  0.031821,                     S2   S2_conf
(TEMP, RH)    0.000285  0.008410
(TEMP, CO2)   0.000060  0.006656
(TEMP, PPFD)  0.000049  0.006698
(TEMP, H)     0.000508  0.008168
(RH, CO2)     0.000679  0.041018
(RH, PPFD)    0.000431  0.041072
(RH, H)       0.009415  0.053640
(CO2, PPFD)   0.000031  0.001199
(CO2, H)      0.000073  0.001556
(PPFD, H)     0.000649  0.009150]
