Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
CO2xTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2xPPFD,,,,,,,0.0,,,,0.0,5.2785177487873164e-17,1.3877787807814457e-17,5.4544665136267924e-17,,,-1.3877787807814457e-17,5.336248193518232e-17,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,2.1521280795202564e-16,0.0,5.708131652961634e-17,0.004049392705426064,0.04357253369813782,,,0.0007415142348956294,0.03376407592175921,-0.00039010767004524563,0.0065720786311230074,0.001929755259390431,0.03700612768709575,0.0002698185948887006,0.06972425843642478,,,0.003749288506559978,0.045540071690021236,0.003749288506560089,0.0437833245722665,0.004250777702800135,0.03230029232413279,0.004250777702800135,0.026601089697678902,,,,,0.0,0.0,,,0.0,0.0,,,0.004962641517513466,0.03885944230297264,0.0016393448835021474,0.014106146471191582,,,0.0003065341737160665,0.010402447883491798,-5.7229681008448205e-05,0.0009043568573356186,0.0018940752711982256,0.035147936532999594,0.00026981859488870233,0.06780028406468368,,,0.0037172388577235704,0.04818666837752832,0.0037172388577233484,0.048938999804585284,0.003536186954434306,0.03175616572007593,0.0035361869544344726,0.027231488926753904,0.003536186954434306,0.029616001549000685,0.0035361869544343616,0.02482988526848135,0.0,0.0,0.0,0.0,0.0,0.0,0.004930631290190779,0.0361699704607196,0.0045586804305018935,0.036403027469473055,0.0015463482247096705,0.012621786345619836,,,0.0002199321909578389,0.011545131006765717,-8.943224601681322e-05,0.001187816237957464
CO2xH,,,,,,,0.0,,,,0.0,1.2608726694008403e-16,0.0,1.6283671567951916e-16,,,-1.1102230246251565e-16,2.3554273749173395e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2016341990210827e-16,0.008301380485105758,0.04747941973137908,,,0.002496212703251177,0.037566555459469644,-3.5105541050795e-05,0.008020290593418064,0.00018871756708893628,0.02446230901691321,0.00018782749711787616,0.07010100829591141,,,0.00025571499658527674,0.03514729456244981,0.00025571499658522123,0.03351634532842087,0.003905797631168606,0.028554578950614903,0.003905797631168717,0.025184056026766957,,,,,0.0,0.0,,,0.0,0.0,,,0.00033268866244626216,0.028157587733781582,1.0246897781465703e-06,0.010550215172683211,,,0.00019095358812190252,0.009218082971910674,-7.539715666948776e-05,0.0012779926706215459,0.00018261672123598416,0.027043873097374035,0.00018782749711787616,0.06588136969423615,,,0.0002485848939617341,0.04251194675118959,0.0002485848939617341,0.04044762194532201,0.0037813034669916257,0.028231998704004866,0.0037813034669917367,0.02590595941657246,0.003781303466991792,0.025580806684609915,0.00378130346699157,0.027193796579035333,0.0,0.0,0.0,0.0,0.0,0.0,0.00032762133238201097,0.025190569992587352,0.0005279199808991483,0.027421378653293544,0.0003145178061280812,0.009087476967276607,,,0.00015929944877394325,0.00841466178302778,-0.00010473055245385776,0.001606449260527128
PPFDxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFDxH,,,,,,,0.0,,,,0.0011870523780854736,0.029665237246896233,0.0011870523780852515,0.03074653277073155,,,0.0011870523780853626,0.028910477296981662,0.0,0.0,0.0,0.0,0.0,0.0,0.0001292663872908273,0.06308672697695293,0.005061697484070593,0.03823846857742285,0.002377927932638968,0.020167952061442222,,,0.0007612974691146301,0.01755661425037509,-0.00014811006206338906,0.002975117461841564,-3.357516625834833e-07,0.05207148467998127,1.4631062543631057e-07,0.007122724887761304,,,-6.704932446399692e-05,0.051398192956801966,-6.704932446410794e-05,0.047429623823241986,0.00747876537312564,0.05894439169766741,0.007478765373125418,0.056200190755308355,,,,,0.0,0.0,,,0.0,0.0,,,0.00010921894669213561,0.06001892972696473,0.0011060547254373443,0.055864374316280545,,,-0.002533522593534898,0.05802765585877526,-0.0003041183348463372,0.006538984292150319,-2.5189097872968524e-05,0.05294121860262753,1.4631062543457585e-07,0.007328121018783285,,,-8.637019529356138e-05,0.0470083484219758,-8.637019529378342e-05,0.053725934855777924,0.009280218103328186,0.05599526301915925,0.009280218103328186,0.05208508804413219,0.009280218103328186,0.05365265660636955,0.00928021810332813,0.051618294139815404,0.0,0.0,0.0,0.0,0.0,0.0,8.654944420050104e-05,0.056616102067588506,0.0034003985955633406,0.05771757852559006,0.004379959099690613,0.05416506848314773,,,0.0008494513378824245,0.0560750678878094,-7.687668904476919e-05,0.00970534144953837
HxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxPPFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
