Timestep,skip?,SIM_NUM,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD,SIM_STRU,Diurnal,DWCGR,DOC,DCO2C,DCO2P,DNC,DWC
29.0,,0.0,14.431338381054031,0.4012723308043122,0.0164359491276274,0.0262975186042039,0.0655353399310963,0.625,0.1858460217716738,5.580026803694506,49.0646175011326,46.61021614365488,0.2007137035134077,2.5257008463698365,170.11263472593703,-167.5869338795672,5.723532337579968,4.432934964165566,12.990170639249378,2.5,2.096518324713377,-3261.5962852894863,21.224393686378857,16.224393686378857,67.35264588854145,608.4024581485999,217.64533847178257,3.0,,,,,,,
30.0,,1.0,14.431338381054031,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.19390510653883,5.822000823828372,0.0,153.05631327541795,0.2094175150619364,2.539745562364048,171.05858350890026,-168.51883794653622,9.832469705490158,6.164421045187171,18.16516969551844,2.5,2.197558738104367,-3472.175811802145,21.31472242217341,16.31472242217341,67.35264588854145,608.4024581485999,217.64533847178257,1.0,,,,,,,
30.0,,2.0,14.431338381054031,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.19390510653883,5.822000823828372,0.0,153.05631327541795,0.2094175150619364,2.5257008463698365,204.11251322464372,-201.58681237827392,9.832469705490158,6.164421045187171,21.69501960712308,2.5,2.241682375071935,-4236.90722453873,21.224393686378857,16.224393686378857,80.81420787343542,608.4024581485999,217.64533847178257,1.0,,,,,,,
29.0,,3.0,14.431338381054031,0.4619888740626826,0.0201003254908128,0.0321605207853005,0.0696131932842542,0.625,0.2272801831994086,6.824087500562243,60.00351876225096,57.00191138397864,0.2454625978553613,2.5257008463698365,170.11263472593703,-167.5869338795672,6.999587431745533,5.421252826194084,12.206430112815433,2.5,2.075015829670748,-3228.144415525799,21.224393686378857,16.224393686378857,67.35264588854145,791.8181436724246,217.64533847178257,3.0,,,,,,,
29.0,,4.0,14.431338381054031,0.4320793230712055,0.0176672610334565,0.0282676176535305,0.0654222873999274,0.625,0.2064413427769186,6.19840131687698,54.50192273802844,51.77552640669506,0.2229566501990721,2.5257008463698365,170.11263472593703,-167.5869338795672,6.357810029685645,4.924189593734821,14.429731904418324,2.5,2.1308269950589787,-3314.9709829648496,21.224393686378857,16.224393686378857,67.35264588854145,608.4024581485999,224.91495773049624,3.0,,,,,,,
29.0,,5.0,18.90229748571629,0.4012723308043122,0.0164359491276274,0.0262975186042039,0.0655353399310963,0.625,0.2434227995566207,7.308769556687539,64.26527959782705,61.05048250947817,0.2628966235211504,2.5257008463698365,170.11263472593703,-167.5869338795672,5.723532337579968,4.033096229547879,11.81849240962234,2.5,2.0635015320607453,-4204.790095902953,21.224393686378857,16.224393686378857,67.35264588854145,608.4024581485999,217.64533847178257,3.0,,,,,,,
30.0,,6.0,14.431338381054031,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.19390510653883,5.822000823828372,0.0,153.05631327541795,0.2094175150619364,2.5257008463698365,170.11263472593703,-167.58693387956717,9.832469705490158,6.164421045187171,18.064077618209456,2.5,2.196071950513081,-3450.6386287709424,21.224393686378857,16.224393686378857,67.35264588854145,608.4024581485999,217.64533847178257,1.0,,,,,,,
707.5,,7.0,18.90229748571629,0.5177971737996818,0.0224904792215452,0.0359847667544724,0.0694958732401149,0.625,0.3490385740522284,10.480494003422749,0.0,0.0,0.8041547176835361,2.5257008463698365,0.0,-201.58681237827395,0.0,8.093512293523935,21.88619651388721,2.5,2.243583934412515,-5499.34594910983,21.224393686378857,16.224393686378857,80.81420787343542,791.8181436724248,224.91495773049624,2.0,0.7916666666666666,8.733745002852283,1.6889301886884889,1.106005510370777,2.322893908652212,0.0007426509169155,-5490.280833830618
30.0,,8.0,18.90229748571629,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.2624618581307711,7.880417290376404,0.0,204.15478476274689,0.2834588067812328,2.539745562364048,171.05858350890026,-168.51883794653622,10.160886163355242,5.195968610219941,11.76465496800821,2.5,2.0618541062495326,-4267.044097866443,21.31472242217341,16.31472242217341,67.35264588854145,791.8181436724246,224.91495773049624,1.0,,,,,,,
707.5,,9.0,18.90229748571629,0.4502300091552229,0.0184094231593906,0.0294550770550249,0.0654222873999274,0.625,0.2857030632998791,8.578734455939644,0.0,0.0,0.6582351730982523,2.539745562364048,0.0,-202.70778026015924,0.0,6.624887410779448,23.44592389855457,2.5,2.258996668129137,-5567.915171774469,21.31472242217341,16.31472242217341,80.81420787343542,608.4024581485999,224.91495773049624,2.0,0.7916666666666666,7.148945379949698,1.3824618952739025,0.9053130107395928,1.9013884274099164,0.0006078916707168,-5560.494985591697
